,rank,full_name,ticker,market_cap,price,circulating_supply,date
0,1,Bitcoin,BTC,134469548249.08,7411.32,18143812.0,2020-01-05
1,2,Ethereum,ETH,14875569429.66,136.28,109157039.0,2020-01-05
2,3,XRP,XRP,8474172239.53,0.1955,43337903409.0,2020-01-05
3,4,Tether,USDT,4133500727.77,1.01,4108044456.0,2020-01-05
4,5,Bitcoin Cash,BCH,4080035773.48,224.1,18206600.0,2020-01-05
5,6,Litecoin,LTC,2778396524.61,43.55,63793157.0,2020-01-05
6,7,EOS,EOS,2559643917.93,2.7,947443787.0,2020-01-05
7,8,Binance Coin,BNB,2194781442.97,14.11,155536713.0,2020-01-05
8,9,Bitcoin SV,BSV,2003156469.14,110.87,18068415.0,2020-01-05
9,10,Monero,XMR,940587960.2,54.1,17387097000000.0,2020-01-05
10,11,Stellar,XLM,909657060.26,0.04536,2.0054779554e+16,2020-01-05
11,12,TRON,TRX,908402721.81,0.01362,66682072191.0,2020-01-05
12,13,Cardano,ADA,900224705.78,0.03472,25927070538.0,2020-01-05
13,14,Tezos,XTZ,877159746.89,1.26,694191974.0,2020-01-05
14,15,UNUS SED LEO,LEO,856553225.03,0.857,999498893.0,2020-01-05
15,16,Cosmos,ATOM,806970071.74,4.23,190688439000000.0,2020-01-05
16,17,Huobi Token,HT,708925310.99,2.94,241284047.0,2020-01-05
17,18,Neo,NEO,639703565.89,9.07,70538831.0,2020-01-05
18,19,999,999,633049725.12,2.92,217101154999.0,2020-01-05
19,20,Chainlink,LINK,632725379.19,1.81,350000000000.0,2020-01-05
20,21,Ethereum Classic,ETC,570853943.07,4.91,116313299.0,2020-01-05
21,22,HedgeTrade,HEDG,521505971.25,1.81,288114855.0,2020-01-05
22,23,USD Coin,USDC,518272576.97,1.01,513906091.0,2020-01-05
23,24,MINDOL,MIN,511603795.0,3.0,170295785000000.0,2020-01-05
24,25,IOTA,MIOTA,480979947.7,0.173,2779530283000000.0,2020-01-05
25,26,Dash,DASH,476326526.07,51.48,9252790.0,2020-01-05
26,27,Crypto.com Coin,CRO,443334280.94,0.03462,12806392694.0,2020-01-05
27,28,Maker,MKR,442089035.24,442.09,1000000000000.0,2020-01-05
28,29,Ontology,ONT,351858671.02,0.5521,637351170.0,2020-01-05
29,30,VeChain,VET,305240316.5,0.005504,55454734800.0,2020-01-05
30,31,Dogecoin,DOGE,296989929.96,0.002419,122770038083.0,2020-01-05
31,32,NEM,XEM,291262976.53,0.03236,8999999999000000.0,2020-01-05
32,33,Basic Attention Token,BAT,267401433.11,0.1889,1415586562.0,2020-01-05
33,34,Zcash,ZEC,260715782.66,31.02,8404419.0,2020-01-05
34,35,Paxos Standard,PAX,254554712.67,1.01,252336307.0,2020-01-05
35,36,INO COIN,INO,248971223.18,1.38,180003180.0,2020-01-05
36,37,FTX Token,FTT,209298272.81,2.15,97128008.0,2020-01-05
37,38,Decred,DCR,191803865.69,17.78,10786831.0,2020-01-05
38,39,Synthetix Network Token,SNX,176286913.65,1.13,156373209.0,2020-01-05
39,40,Insight Chain,INB,160430579.05,0.4585,349902689.0,2020-01-05
40,41,Qtum,QTUM,157729635.29,1.64,96288788000000.0,2020-01-05
41,42,TrueUSD,TUSD,154620833.58,1.01,153152915.0,2020-01-05
42,43,PRIZM,PZM,141590298.08,0.285,496892516000000.0,2020-01-05
43,44,ThoreCoin,THR,124134300.84,1432.0,86686.0,2020-01-05
44,45,Ravencoin,RVN,121824615.52,0.0233,5227405000.0,2020-01-05
45,46,ThoreNext,THX,119022025.8,5.5,21652254.0,2020-01-05
46,47,Algorand,ALGO,116782883.79,0.2317,504120205.0,2020-01-05
47,48,0x,ZRX,113427012.93,0.1877,604421968.0,2020-01-05
48,49,Holo,HOT,109990377.19,0.0006794,161889281920.0,2020-01-05
49,50,Cryptonex,CNX,108736345.14,1.95,55686329.0,2020-01-05
50,51,OKB,OKB,107211336.45,2.68,40000000000.0,2020-01-05
51,52,Augur,REP,104037533.0,9.46,11000000.0,2020-01-05
52,53,Seele,SEELE,99442077.68,0.1421,699587206.0,2020-01-05
53,54,Beldex,BDX,99432218.11,0.1014,980222595.0,2020-01-05
54,55,Bitcoin Gold,BTG,95132079.67,5.43,17513924.0,2020-01-05
55,56,Swipe,SXP,90534550.9,1.48,61135911.0,2020-01-05
56,57,Waves,WAVES,89880955.6,0.8918,100790248.0,2020-01-05
57,58,OmiseGO,OMG,89721918.0,0.6397,140245398000000.0,2020-01-05
58,59,ZB Token,ZB,89547065.4,0.1933,463288810.0,2020-01-05
59,60,Nano,NANO,87096190.13,0.6536,133248297.0,2020-01-05
60,61,KuCoin Shares,KCS,85969358.41,1.04,82363551000.0,2020-01-05
61,62,Molecular Future,MOF,85269411.89,1.93,44141359000000.0,2020-01-05
62,63,Mixin,XIN,82675554.31,175.83,470192.0,2020-01-05
63,64,THETA,THETA,82078449.04,0.09429,870502690.0,2020-01-05
64,65,Centrality,CENNZ,81965551.14,0.07664,1069442193.0,2020-01-05
65,66,Karatgold Coin,KBC,78180805.19,0.02083,3752635090000.0,2020-01-05
66,67,ABBC Coin,ABBC,72582409.58,0.1304,556626634.0,2020-01-05
67,68,UNI COIN,UNI,72531284.44,1.21,60009414.0,2020-01-05
68,69,Lisk,LSK,69691908.85,0.5746,121295915000.0,2020-01-05
69,70,Terra,LUNA,69081209.94,0.2401,287765804.0,2020-01-05
70,71,DigiByte,DGB,68932361.76,0.005436,12679602283.0,2020-01-05
71,72,Dimension Chain,EON,68722504.26,0.2807,244783561.0,2020-01-05
72,73,Counos Coin,CCA,68027564.02,4.58,14848323.0,2020-01-05
73,74,Komodo,KMD,67261403.55,0.5712,117756365000000.0,2020-01-05
74,75,MCO,MCO,67054086.82,4.25,15793831000000.0,2020-01-05
75,76,1irstcoin,FST,66946344.26,1.68,39868572.0,2020-01-05
76,77,Bytom,BTM,66627476.59,0.06646,1002499275000000.0,2020-01-05
77,78,v.systems,VSYS,65540078.03,0.03464,1892012873.0,2020-01-05
78,79,Nexo,NEXO,64972494.11,0.116,560000011.0,2020-01-05
79,80,Bitcoin Diamond,BCD,62396537.67,0.3346,186492898.0,2020-01-05
80,81,GAPS,GAP,62276762.13,6.23,10000000.0,2020-01-05
81,82,BitTorrent,BTT,61519465.72,0.00029,212116500000.0,2020-01-05
82,83,Enjin Coin,ENJ,60896546.09,0.0771,789837740.0,2020-01-05
