,date,price_(close),price_(high),price_(low),price_(open),circulating_marketcap,circulating_supply,supply_pct
1823,2016-09-20,602.9302224787309,610.6014148712798,602.8503573293515,609.9929110875341,9654469426.503124,15887127.76841104,0.00011888131884463249
1822,2016-09-21,596.8027078629146,602.941602758862,590.5870632312322,602.900828642392,9568740433.767773,15889203.83084266,0.000130675755988241
1821,2016-09-22,595.8205769630831,600.258066674242,591.9681250684899,596.74052720811,9459416577.0891,15890967.2452458,0.00011098192344394242
1820,2016-09-23,601.7718328760413,603.3141264542273,593.7200834747083,596.0667910228437,9467883294.35566,15892668.24033833,0.000107041633544247
1819,2016-09-24,603.148546356093,605.8053038015618,597.9189349069793,601.756108384557,9555904875.587069,15894744.12830039,0.00013061922206314414
1818,2016-09-25,601.2029225212266,603.9758818661334,597.14,602.3949791027342,9565619362.77589,15897057.42832563,0.00014553867659450326
1817,2016-09-26,605.7501160834394,609.3696674047083,594.5007512012717,600.7347649250336,9550642684.059244,15898970.91110807,0.0001203671051115407
1816,2016-09-27,604.2133236978403,615.278164075136,600.14,606.9693103521215,9643556421.045923,15901059.49998529,0.00013136629338461603
1815,2016-09-28,604.6577172616236,607.662328813694,601.0226386236077,605.4603091756167,9624047878.905258,15902910.60917175,0.00011641420412655812
1814,2016-09-29,604.2307045449702,607.1851908001299,602.01,604.62616204028,9615289918.628595,15904699.34138869,0.00011247829160954126
1813,2016-09-30,609.0795962535772,609.9242268774411,602.7342268160185,604.423131568168,9611754499.832453,15906475.54135876,0.00011167768292530411
1812,2016-10-01,615.4980059324074,617.0058343360303,605.04,608.6272174548193,9676821185.259825,15908439.17779161,0.0001234488700998515
1811,2016-10-02,610.3676199651312,616.2715530788066,596.6996547060207,614.9206030318619,9777247055.68234,15910202.63233529,0.00011085025526202941
1810,2016-10-03,612.457905268757,615.04,606.6911510896595,611.8479107691091,9724016681.2025,15912091.37618049,0.00011871274608155069
1809,2016-10-04,608.7882844120171,613.1752667763775,603.7577690476791,612.0712854943953,9741384974.630014,15914067.62036206,0.00012419763906890147
1808,2016-10-05,611.8252355315369,615.3288934783064,605.0951306637729,609.2246351495728,9681657115.586594,15916156.3349947,0.0001312495763161614
