"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Marketcap","Circulating Supply"
"2021-09-17","363.61742442874834","389.9385854717825","355.74768398585155","384.28457992975893","5063806416.480812","13177230.31563326"
"2021-09-16","384.08870547139986","416.06499333791913","370.95455951242536","414.5317489244881","5462380328.72024","13177230.31563326"
"2021-09-15","414.78306347344756","417.8022292690703","376.49174161597654","384.51148422720723","5065733468.804711","13174465.98242922"
"2021-09-14","384.6618862188251","390.9269333213595","327.8209252135396","330.6445697590896","4356065636.5660715","13174465.982429221"
"2021-09-13","331.0396793858351","337.339202154613","303.50115113937244","333.1641595897344","4389259887.079576","13174465.98242922"
"2021-09-12","333.2985774799968","348.55968461940216","321.822689302972","328.57576119758136","4320851843.532671","13150245.25176228"
"2021-09-11","328.7359067619175","340.17033852909566","310.81227784056574","312.06652615335827","4103751353.782149","13150245.25176228"
"2021-09-10","312.18721262010854","340.15793119314975","304.458232264501","330.08972908634837","4340760892.573251","13150245.251762282"
"2021-09-09","330.45805567766575","350.7362328206428","324.68719010985365","333.7015781758463","4388257593.912502","13150245.25176228"
"2021-09-08","330.52075349467697","353.5040232346838","312.10806650623346","346.14201732931986","4551852419.820306","13150245.25176228"
"2021-09-07","346.7962666099365","409.6067188967854","307.5694955290745","408.8851120490334","5376939503.23909","13150245.25176228"
"2021-09-06","408.8612281074569","425.2322949319926","395.7782203092822","417.1799232227635","5486018304.490698","13150245.25176228"
"2021-09-05","417.0065641437521","425.6012130293486","394.82378359022266","398.0216705155113","5234082582.795094","13150245.25176228"
"2021-09-04","397.9931879099575","406.74126987296427","390.69549410318893","395.03224201777977","5194770864.887317","13150245.25176228"
"2021-09-03","395.03745203337445","408.24380611141305","388.21479105918837","399.67733432021265","5255854967.881381","13150245.251762278"
"2021-09-02","399.71994618930705","415.1406114482363","399.26780312409244","413.922451207295","5443181748.586535","13150245.25176228"
"2021-09-01","413.33130804303505","414.34706421707705","382.1379876480185","391.5806855569543","5149284825.533745","13149996.9622092"
"2021-08-31","391.8357567310437","397.50209861076263","350.67183098974726","357.71897102030334","4703765575.630845","13149332.17607816"
"2021-08-30","357.86034305893406","377.02794198125326","346.3226166267415","364.29308063041333","4789379781.47078","13147051.196203629"
"2021-08-29","364.22820398753623","377.90277796260034","355.7819129321799","367.0214847132237","4825250249.631419","13147051.196203629"
"2021-08-28","367.39144487631637","376.01489202013664","362.1259448132933","372.7520362594374","4900590104.191976","13147051.19620363"
"2021-08-27","373.0116105560291","375.5807211857018","344.1709867336135","350.8824658529906","4612902908.588702","13146575.72693123"
"2021-08-26","350.699822041302","389.27896255873276","341.1882517600871","384.1853258780183","5050143421.251545","13145369.90814423"
"2021-08-25","384.18999077094713","386.06684470225696","363.6749768653142","378.17668248960405","4971274214.459735","13145232.970611839"
"2021-08-24","378.22753136234655","414.2244983061439","370.0139816630801","409.3838764210264","5293421153.734715","12964605.88115569"
"2021-08-23","408.56050386472435","415.59100277091613","399.5435378898278","401.2945256105802","5201464816.87719","12963139.71163365"
"2021-08-22","401.27408646872806","408.8641030739224","385.95095485244525","400.1007539637589","5186416274.2706585","12962782.451741228"
"2021-08-21","400.21762508424973","416.3864615886857","393.5980373853316","409.3054199104754","5305756403.351839","12962362.55433116"
"2021-08-20","409.3422406481876","421.0343163778101","403.4238442283204","405.2401205116869","5251963757.453032","12960920.69462322"
"2021-08-19","405.40131151494217","405.4779113633219","370.8633136195887","380.43445228268433","4931367338.936644","12960173.79788937"
"2021-08-18","380.39533284021417","397.7714925888612","361.5225560478097","395.3993159553373","4943280883.764761","12959326.70118488"
"2021-08-17","381.49077215375365","448.3341849516719","380.6815038465041","414.0330506049221","5351636922.303729","12949872.64454264"
"2021-08-16","413.12385932553667","446.95295067635334","408.3771142502145","410.57542086334934","5316629104.07123","12949252.595435537"
"2021-08-15","410.6439445008263","416.384532988677","391.56999034943783","414.5271726333864","5367719883.147332","12949015.02461874"
"2021-08-14","414.66024826466384","428.36683615051913","404.73815375181937","427.845414450751","5539945443.199309","12948640.04806746"
"2021-08-13","427.66800618120647","428.389646077185","388.1593371860495","392.1565885697557","5077398139.125857","12946990.4984572"
"2021-08-12","392.4909159347397","418.0400737226201","376.233619789545","402.91819242436105","5216375132.808153","12946215.54018371"
"2021-08-11","402.8616700986545","420.1291415173373","382.7880020182583","383.78315770369676","4968003574.058246","12944833.76005685"
"2021-08-10","384.1214480596961","400.25184597547087","368.14133166990086","374.44407506121433","4844944071.47319","12938801.50201961"
"2021-08-09","374.16114514248477","385.0720041486297","347.56806459214107","361.07595258191986","4671333716.038602","12937453.03850478"
"2021-08-08","361.04084358914184","389.7557694755207","352.20796400202096","385.4072245329659","4973398597.801131","12936724.13799806"
"2021-08-07","385.39374524931657","399.6171563928598","365.29524401047695","369.7926423022244","4783362379.26691","12935220.40043743"
"2021-08-06","369.82357212138754","379.62556548826745","357.52939159755965","373.1808438663065","4826688349.720313","12933481.981860623"
"2021-08-05","373.0663770509523","383.5163269790733","337.1113779307317","338.9524824455326","4383169527.966691","12933114.41120715"
"2021-08-04","338.98065676520565","343.00657264997125","300.2829540852805","308.2943898264628","3987184139.987312","12933017.31671562"
"2021-08-03","308.5894099845006","324.01217986557145","302.0564728285872","320.38673128616625","4143329169.0728345","12931662.28870262"
"2021-08-02","320.4066348358175","328.8723595807066","309.2738244251573","316.7250955831816","4103949274.2188816","12930982.18305075"
"2021-08-01","316.6012889169164","339.8877861001234","313.64861979743023","330.98967789755983","4279667524.3489833","12930369.23637383"
"2021-07-31","331.326707869198","333.1758058629525","313.074273861911","321.0273803901312","4150877324.9978127","12930083.10550017"
"2021-07-30","320.68034121271995","323.8093578508755","300.03989766352663","311.53790280711763","4023142941.8988643","12914399.48883595"
"2021-07-29","311.90722496926753","315.69116531389665","292.7567051240592","297.65876870774065","3840663816.3313456","12913944.74382753"
"2021-07-28","298.005410477384","308.95868186807616","292.1353139175772","300.01871576068726","3874700901.0155444","12913638.19603999"
"2021-07-27","300.047212644149","312.6095949364127","283.97792174106286","305.28344647693456","3910074787.695665","12912909.00696991"
"2021-07-26","302.6897306633065","335.628927705032","285.9287107345936","288.07195692056075","3719659969.773348","12912372.15381042"
"2021-07-25","288.21454025062457","293.0055737596423","272.2164573287552","288.03667075502034","3700039978.6432877","12845841.56804618"
"2021-07-24","287.89424194814234","299.1289529832793","281.03369296194194","289.82494258898276","3724822359.391054","12843999.62522266"
"2021-07-23","290.09013535995297","292.8141641154747","268.3151686799873","275.0978416966659","3577465148.7237415","12843349.43710014"
"2021-07-22","278.6631340579764","280.9282366467728","256.85524249755014","258.7050648662612","3329158494.374839","12842346.36777502"
"2021-07-21","259.17313260615185","263.26889487708434","217.1286939277173","223.2822566685911","2867989863.7678857","12842198.588255208"
"2021-07-20","223.1275497060282","242.37599197761753","212.71024244774395","238.16192820337636","3065609487.9606833","12842040.47798379"
"2021-07-19","238.43497488546987","255.87344187001432","233.15748073727843","254.18745035578448","3259353515.9263954","12841442.98113396"
"2021-07-18","253.87172932342688","268.0060802778203","250.83662437217245","253.08440135118093","3251175622.8863187","12841294.10868062"
"2021-07-17","253.15765460722486","258.53622038922686","245.87647536765922","253.60135280732072","3253339454.2470226","12840950.13903561"
"2021-07-16","253.32129668237067","279.74137971597696","252.6054624197928","272.07660600315546","3495198764.1881895","12840333.65112991"
"2021-07-15","272.26850080195135","288.27439606264716","265.4899703481739","279.31932258634583","3588184802.0023503","12839064.82178074"
"2021-07-14","279.3627503105263","285.5381646690422","252.15762508676906","271.18206320784435","3483716845.805521","12838711.4757168"
"2021-07-13","271.30747392497443","297.5468921881441","267.62012187310313","296.81537800261736","3806257836.512119","12837578.57236331"
"2021-07-12","296.68020488673005","321.9097566168129","291.24647750129907","304.6351259506386","3912042406.6213183","12836489.2321828"
"2021-07-11","304.79860015156135","310.548139850281","286.4829769379025","294.8296633936729","3783449372.1923876","12835389.89165133"
"2021-07-10","294.74876495480225","311.7164970496665","288.52965424762425","303.34249935812977","3894342215.1817403","12834886.55042331"
"2021-07-09","303.1457998184434","314.43590196486264","276.0512747745729","292.27676725869367","3741858276.3620086","12834708.00952526"
"2021-07-08","291.2307275544711","315.7351092531418","276.1853978545068","314.8089525505998","4042634596.6182256","12834548.09521885"
"2021-07-07","315.0353178721051","331.71784489014533","310.46785185760996","316.8186036729551","4065503892.360765","12833054.81152392"
"2021-07-06","316.5639512601496","347.3545979760112","307.23807510745604","307.53546680344965","3956222323.058557","12832668.60831834"
"2021-07-05","308.16721749171745","318.45495431535926","260.9723349476289","276.62683808176854","3550010934.0131636","12832333.24478195"
