"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Supply"
"2021-09-17","157.3096133338795","161.57996675927907","154.30301596030694","156.17498594694442",""
"2021-09-16","156.17553144853727","159.78658524974867","153.68964956937805","157.41657366829895","18844285.04238754"
"2021-09-15","157.46802028871448","172.96189809874508","151.17696366709265","154.464229733165","18843435.04238754"
"2021-09-14","154.5126543349288","167.6899315103523","148.52566756460922","149.69462496489606","18842441.29238754"
"2021-09-13","149.84872746608426","171.8979261698618","145.46807483375173","155.152329600219","18841666.29238754"
"2021-09-12","155.20000044655055","157.13872565159096","150.64184840689256","153.9039413808732","18840728.79238754"
"2021-09-11","154.04504781063662","162.31241435786117","148.68283527363712","151.1374461749417","18839878.79238754"
"2021-09-10","151.3008407117049","160.9581606290456","148.39117758241468","155.94152098844324","18838997.54238754"
"2021-09-09","155.97625940903782","164.18735848151348","152.82473604906593","156.14294879058042","18838078.79238754"
"2021-09-08","156.05098671014522","174.7450858780822","146.9179359887516","156.94237950965965","18837141.29238754"
"2021-09-07","157.0422855366398","193.52866063146246","139.51164319961873","192.515649205187","18836210.04238754"
"2021-09-06","192.64830299010714","199.73233334429105","185.94450938754898","192.68097935653836","18835353.79238754"
"2021-09-05","192.5884379146876","199.5471370788487","180.90490946539512","187.03229909778145","18834491.29238754"
"2021-09-04","186.87648687823622","197.2175743606039","174.04229495319063","177.10065820344312","18833610.04238754"
"2021-09-03","177.16600955552363","202.8832160734832","168.0320859160549","169.06995197439645","18832635.04238754"
"2021-09-02","169.80674537674022","187.19642566660792","167.2430540379548","168.07827717139918","18831810.04238754"
"2021-09-01","168.1943089841733","168.68808927833248","160.62930762454982","163.55050956165786","18830885.04238754"
"2021-08-31","164.10175335255695","180.54180822733792","160.13096586273778","162.6871948411868","18830003.79238754"
"2021-08-30","162.88811186484918","199.27269897009216","161.13486236954753","169.52688068910146","18829066.29238754"
"2021-08-29","169.77149709160918","244.22518559246566","163.78863124462902","163.788757979988","18828178.79238754"
"2021-08-28","164.08638970655016","168.911290479362","156.874150715864","160.07432552747088","18827285.04238754"
"2021-08-27","159.34421422163678","161.191675198211","151.57690279774536","156.03657578002438","18826435.04238754"
"2021-08-26","156.43306722406192","164.8183106635957","151.9734327966522","162.7411689812133","18825485.04238754"
"2021-08-25","163.021720247989","164.93624942673392","156.37583036632688","159.59020326575768","18824603.79238754"
"2021-08-24","159.63132684332248","168.92220665711093","156.45062658239436","167.19386355454907","18823647.54238754"
"2021-08-23","167.38978894894095","170.93270947356322","164.1259833202906","165.24908965528255","18822753.79238754"
"2021-08-22","165.393915141528","169.2821855828433","157.99828146966854","165.47465681825065","18821853.79238754"
"2021-08-21","165.7146842153769","171.33695468815958","162.90802161537965","170.86406492073417","18820953.79238754"
"2021-08-20","170.7629123038789","172.8466873958574","157.6209339608362","159.9846083802811","18819960.04238754"
"2021-08-19","159.89699215734015","160.03527401372506","150.37667252534638","155.63472129198354","18819135.04238754"
"2021-08-18","155.45912265109862","160.97830741191785","151.58555971299117","158.47189395774012","18818266.29238754"
"2021-08-17","158.47158738126123","171.73943242662176","155.93663295837368","167.8489612613489","18817335.04238754"
