"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Marketcap","Circulating Supply"
"2021-09-17","47433.88998612031","48171.71018327484","47232.51073522233","47772.7600663211","899315230867.4164","18824853.94645257"
"2021-09-16","47757.27115947085","48531.31361855378","47039.139531897046","48172.47628357706","906814236888.2235","18824322.65989561"
"2021-09-15","48148.33116063502","48493.168732234255","46747.6244240991","47098.42097542261","886555837814.2657","18823472.62293353"
"2021-09-14","47130.67957423161","47271.85632334908","44658.75983153234","44948.11188025382","846039660487.9895","18822585.08971238"
"2021-09-13","44956.04181226871","46897.16586812692","43392.91186201581","46043.93422930513","866617520401.8715","18821535.01666467"
"2021-09-12","46036.387569405204","46473.238693422674","44751.01217582431","45193.97060775189","850574987016.8685","18820541.22659835"
"2021-09-11","45175.24475579598","46002.19915916021","44732.88939150577","44850.64914399945","844072284079.5713","18819622.46230943"
"2021-09-10","44858.851039253714","47092.8858362293","44146.34786431026","46393.44023938422","873064114947.6367","18818697.43745533"
"2021-09-09","46406.77808193513","47420.637525834296","45529.41132398411","46297.169421285056","871213068381.4476","18817847.38185114"
"2021-09-08","46072.84462407352","47455.12838501544","44426.598054624745","46805.80777554879","880744467967.6189","18816991.09202677"
"2021-09-07","46888.73509387665","52961.34948847528","42362.32544325272","52663.58558039088","990923480509.3326","18816103.56736325"
"2021-09-06","52699.017881348496","52807.81536252581","51011.460997655675","51780.91187117846","974265482199.1935","18815147.26165869"
"2021-09-05","51795.68875881028","51928.21234787802","49482.34311241834","49941.30922895529","939599398338.4998","18814072.21486562"
"2021-09-04","49943.86590989726","50572.981959969715","49392.790680321465","50064.94866074365","941874238929.9232","18813047.13428089"
"2021-09-03","49998.478892060055","51047.42118221134","48349.14007879862","49718.560692540465","935309457617.1373","18812078.31821782"
"2021-09-02","49274.878632583706","50429.43527560281","48622.92559976824","48841.19610567588","918759224383.6782","18811153.24030544"
"2021-09-01","48844.679788416994","49151.09118964638","46532.0119513136","47006.33516854569","884199596232.1239","18810221.92140149"
"2021-08-31","47132.960237921856","48285.526017520955","46709.51164962766","47029.18184509581","884589072158.1819","18809365.53546331"
"2021-08-30","47002.93606319256","48920.83856296806","46874.16899797309","48835.14322584142","918514106329.546","18808465.49546943"
"2021-08-29","48804.89206631799","49665.980269784995","47795.13373669825","48901.589127785184","919722588787.9966","18807621.69885034"
"2021-08-28","48931.190615437015","49323.10056427565","48371.28260313884","49071.13366698264","922863473132.6665","18806646.68144018"
"2021-08-27","49094.133344419366","49185.761078914635","46358.63192281064","46899.495444932545","881980905717.6575","18805765.33607367"
"2021-08-26","46856.62735920133","49408.24250921965","46295.173082377725","48971.08935285695","920894315738.2853","18804852.80479948"
"2021-08-25","48996.135100263746","49278.739294075494","47135.434886802796","47727.11408103037","897881323008.5034","18803940.26822146"
"2021-08-24","47661.18803327176","49894.2070188698","47607.88007732681","49517.37559653661","931070898902.9567","18802940.17918685"
"2021-08-23","49513.10577212436","50535.562307998836","49036.43664196567","49311.59994696529","926702194175.8004","18801977.5483447"
"2021-08-22","49285.906871382074","49531.598641330595","48081.901739265384","48886.85918236112","919111068985.3741","18800746.18528536"
"2021-08-21","48874.2292170511","49802.63666102425","48247.5378872689","49326.874461014435","927337280893.7097","18799721.13079763"
"2021-08-20","49339.77499641724","49393.905216550826","46636.0702324828","46745.815632839294","878824761477.2834","18798658.54120484"
"2021-08-19","46779.78198864239","47208.76771923585","43932.35722428182","44801.34210677887","842147120944.8312","18797658.41446789"
"2021-08-18","44723.54788930048","46037.828680273764","44208.93581826314","44674.721570370784","840003166487.536","18796695.76181334"
"2021-08-17","44702.679927049634","47183.41748830067","44395.67252937083","46097.06783779848","864364197236.643","18795851.86000301"
"2021-08-16","45944.57110085371","48080.53719571329","45677.51036536144","47056.23929198293","884408680338.5732","18794782.92687513"
"2021-08-15","47019.242786178664","47505.097375612386","45526.1172034229","47102.72862579556","885238173126.7728","18793776.60384326"
"2021-08-14","47113.09372840073","48195.70156655153","46021.330093520366","47824.19844078444","898741006313.3245","18792639.05617716"
"2021-08-13","47824.71047899698","47910.12465514305","44159.352688455554","44267.325712950274","834338737738.6477","18791614.00410841"
"2021-08-12","44427.68487627358","46277.56883478946","43792.61203754552","45896.61804368654","856409163776.3387","18790726.43027268"
"2021-08-11","45547.32441341331","46801.26666411236","45360.08500826347","45619.63618081452","857719763842.3818","18789782.63687764"
"2021-08-10","45570.76175014585","46735.782840737455","44637.05571213154","46396.46320250564","871736939476.9901","18788863.80764729"
"2021-08-09","46278.253536640885","46508.72800292927","42800.14733461399","44209.13937963192","823745389172.3314","18787832.50365911"
"2021-08-08","43849.0961868643","45371.54755719861","43282.53594976326","44551.447132254056","837002242091.8694","18786882.44795999"
"2021-08-07","44623.75802778377","44812.75653047509","42470.01809960771","42864.08294523916","805405882863.8239","18785894.92168452"
"2021-08-06","42861.677909854814","43409.674037838224","39878.444811980284","40884.83000238811","768013382011.285","18784851.13444539"
"2021-08-05","40906.72936123486","41404.90785459773","37322.48374116952","39749.98807747049","746618904326.07","18783857.27154379"
"2021-08-04","39711.576945807625","39989.45841780148","37472.15","38136.04453901897","716303648663.8817","18782857.2274188"
"2021-08-03","38214.81668506366","39804.52181868912","37639.50045025114","39152.28128390174","735615874926.7351","18782007.17911455"
"2021-08-02","39175.32554102747","40514.92978116385","38691.00535074573","39978.23399812239","750809011802.6333","18780950.8812903"
"2021-08-01","39871.314841764244","42615.56389748529","39439.5940077808","41561.59902283489","780542249115.7811","18780057.07767903"
"2021-07-31","41485.3914898339","42446.10697789674","41046.536368502784","42262.10991347686","793623218282.7191","18779094.44996355"
"2021-07-30","42229.805800357586","42338.562333622765","38339.776462413785","40012.70963688073","751363183573.4065","18778106.91830212"
"2021-07-29","40032.51673091158","40685.39131845406","39226.74914050892","39999.63790198583","751110839689.0695","18777069.32713763"
"2021-07-28","40047.367972189335","40919.62949330379","38791.42597553725","39464.274156288964","740421265715.7383","18776069.25960242"
"2021-07-27","39478.99469474245","39559.84343835239","36397.66587878407","37327.27183059199","700618154559.2839","18775087.94176287"
"2021-07-26","37258.11169992395","40571.77548104015","35244.824256785774","35372.15364800145","664075872384.6238","18774025.40361567"
"2021-07-25","35416.083767790995","35436.5407516278","33867.757376226495","34300.96828029872","643934776350.5321","18773087.85997292"
"2021-07-24","34279.26671222107","34555.79602993533","33418.018667023614","33589.95369121592","630555330652.2644","18772131.57933829"
"2021-07-23","33648.05439739837","33662.29931892194","31943.92063598988","32188.993717477548","606415527729.5022","18771169.05272298"
"2021-07-22","32287.333380162017","32604.94183652969","31721.673326013013","32102.782330120328","602651158765.2057","18770325.23865516"
"2021-07-21","32145.21054684758","32847.649568195855","29495.361546560438","29793.123401650842","559309732766.1619","18769368.93309479"
