"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Supply"
"2021-09-17","409.65461306153696","426.09790012285737","404.68427698224286","424.5582090962083","168137035.99999997"
"2021-09-16","424.38274221153875","434.4911269540419","415.72874278389975","431.3005575602916","168137036"
"2021-09-15","431.43148534143467","437.59167440998704","410.019792369752","414.5251991198155","168137036"
"2021-09-14","414.50852627283996","414.8881492352836","395.88239949921626","399.13821399858443","168137036"
"2021-09-13","399.24484999110274","419.686525606994","383.57891519430785","416.62147255972","168137036"
"2021-09-12","416.4042872562163","421.60671219804635","397.6199411489927","405.04585807656997","168137036"
"2021-09-11","405.14627241337496","415.23282873349444","399.4430432224622","401.31205013158564","168137036"
"2021-09-10","401.3910629016558","439.456009174409","393.53896730295406","421.36422598409706","168137036"
"2021-09-09","421.42803973715866","436.2507","403.5474289888017","416.47725201241497","168137036"
"2021-09-08","415.1819592171241","425.83203442343205","382.6509112583026","418.0400869775698","168137036"
"2021-09-07","418.93811879468325","505.205478460507","370.25402352752417","498.1532058456138","168137036"
"2021-09-06","496.37073867503284","509.2711397024519","487.64443391875744","505.0159607592865","168137036"
"2021-09-05","505.10625954393356","505.42540610961447","488.87621546177985","498.01349088442134","168137036"
"2021-09-04","497.95233631737676","510.21536665613326","485.41835418297177","488.5689886883377","168137036"
"2021-09-03","488.6658540394032","495.2815404921457","473.45786072580194","483.79142543208246","168137036"
"2021-09-02","483.85190160296895","504.97206479879605","478.61030455899646","489.84432747964064",""
"2021-09-01","489.62931129256197","490.5314822067903","455.33203333983056","462.6050839997882",""
"2021-08-31","464.1811208326209","478.07240185141296","452.0634361980493","460.4234083951839",""
"2021-08-30","460.43577048679043","481.13021068913565","457.3326452857732","480.04719182394916",""
"2021-08-29","480.08676984174923","495.8765914359828","475.6857372993864","486.39139103939647",""
"2021-08-28","486.4824160150962","497.20554790656234","482.6291762719653","494.7528558940899",""
"2021-08-27","494.756292491782","495.2793548988146","467.40756121382447","478.41586228475006",""
"2021-08-26","478.2257013681778","519.0662404775366","471.59393857336164","503.09481034050594","168137036"
"2021-08-25","503.41255899439943","507.1273144014709","470.08490565048004","471.8487452485121","168137036"
"2021-08-24","471.7207057640483","504.3897823814825","461.21996638848157","499.41089595626664","168137036"
"2021-08-23","499.36420326850043","509.9330452354178","446.480509575612","449.14405215497095","168137036.00000003"
"2021-08-22","449.0050411024197","458.6115039762404","438.01853393991547","450.3019599231089","168137036"
"2021-08-21","449.0471911502622","460.3782841043585","444.05125479094625","454.98217784081623","168137036"
"2021-08-20","455.0261595592331","458.13412212154964","421.82617239835236","431.11518846006504","168137036"
"2021-08-19","431.21387118308024","431.58856406186135","390.9878487644081","396.8922878918234","168137036"
"2021-08-18","396.31139269001443","412.4363381888966","385.65801851474856","401.8577","168137036"
"2021-08-17","401.8752314666971","435.88655941903585","398.9086742185221","420.39182133732675","168137036"
"2021-08-16","416.2281890318582","437.16286248751356","411.0255444381928","414.4343513987564","168137035.99999997"
"2021-08-15","414.4678366364564","415.22060335332384","396.3921407579715","408.9803934630613","168137036"
"2021-08-14","409.0197940809045","419.0742253257066","400.37798389248854","410.98572284822615","168137036"
"2021-08-13","410.9679271049181","411.720590018912","383.13257707469563","385.7328021139797","168137036"
"2021-08-12","385.8920232284669","406.48765780964476","371.91043196593415","391.29652428904103","168137036"
"2021-08-11","391.23592123908406","408.88846103303786","371.29055408698446","372.00289842695094","168137036"
"2021-08-10","372.0432309436825","376.8315359595598","348.5234698508857","354.54281905301127","168137036"
"2021-08-09","354.4763501843717","357.95516634800225","333.4454191611838","342.10326426230085","168137036"
"2021-08-08","342.09345177800265","360.1999042556565","337.1774782551706","356.3938660049497","168137036"
"2021-08-07","356.54771765279025","360.0102907612519","340.5643323461635","342.7277","168137036"
"2021-08-06","342.5440293203503","347.27614439293956","331.2557713051775","338.06537382216715","168137036"
"2021-08-05","338.0960075947403","340.6260038196403","323.3143690901875","334.8410578262083","168137036"
"2021-08-04","334.791636104218","337.85083258834015","319.74460580505365","323.2398368100323","168137036"
"2021-08-03","323.4068290002861","334.8380956196424","317.17064831045036","330.7295857151671","168137036"
"2021-08-02","330.7038468650719","338.37068749377374","326.2653074220071","333.4788517469432","168137036"
"2021-08-01","332.7750347956685","347.9762000585316","329.193529462139","332.9062398015982","168137036"
"2021-07-31","332.6107460172883","338.55461087357014","317.39570784168194","322.89982014864563","168137036"
"2021-07-30","322.7085766782658","325.66767094472254","306.3653523220835","317.04694500763145","168137036"
"2021-07-29","317.1215099711208","320.2862299992026","308.6666","313.7803594621698","168137036"
"2021-07-28","313.9459455329152","318.8453763998499","308.07388663133173","313.69233225091074","168137036"
"2021-07-27","313.6280463946172","318.76161841808255","298.0339763343045","304.1391137437833","168137036"
"2021-07-26","304.0840038788776","328.47071740859593","301.1137550869168","302.69230797910876","168137036"
"2021-07-25","302.82386746173825","304.531693402291","292.6006851749741","301.74189129208474","168137036"
"2021-07-24","301.71289391289287","308.0959031879801","295.6729241408674","299.42613941565673","168137036"
"2021-07-23","299.39684619958035","301.51698372766504","280.6872062497333","292.29604064860416","168137036"
"2021-07-22","293.43467621090707","298.5353078144804","287.47807903343715","293.1612246291477","168137036"
"2021-07-21","293.241906752994","298.90891240808304","261.0964246456854","264.54634712422535","168137036"
"2021-07-20","264.5111223553307","283.6299649630762","254.6181329419982","280.4261650739372","168137036"
"2021-07-19","280.56394664744477","303.9408138300354","278.91212237776955","302.24469695873415","169433764"
"2021-07-18","302.17697446018803","309.2605322313533","298.98303671697414","300.46598980824626","153432897"
"2021-07-17","300.5788513436577","306.79771476638035","295.0915205483472","302.8785771344328","153432897"
"2021-07-16","302.9541437134773","323.4771082003231","301.4970513709835","315.9664494307027","153432897"
"2021-07-15","316.0313788424484","324.42006044994395","301.37042519733444","309.4792167111916","153432897"
"2021-07-14","309.4627713883274","313.5100340401172","290.42971719829495","308.85206657142743","153432897"
"2021-07-13","308.93710508935203","318.236707000127","305.14179561297976","315.98828280977165","153432897"
"2021-07-12","316.0684980068343","334.2481172030688","308.5686566660188","321.8735638655832","153432897"
"2021-07-11","321.89347507432245","326.73629945008014","312.1730852077383","316.01144701087344","153432897"
"2021-07-10","316.1268027851302","321.34943613370274","310.35438287302674","316.85541939096396","153432897"
"2021-07-09","316.9805932383664","319.59652480708945","301.29307953706683","310.21305562244623","153432897"
"2021-07-08","310.20162557741475","329.23939534966655","304.48508585101496","329.12051970921055","153432897"
"2021-07-07","327.6514547061548","339.8811185901041","318.2351289596582","320.1852105272469","153432897"
"2021-07-06","319.86084351803265","322.47562848562166","299.7949093616292","301.8848244966969","153432897"
"2021-07-05","302.0350720960304","307.59949382018306","291.75765489619766","306.17639173698643","153432897"
"2021-07-04","307.6357200717113","315.0304387802671","292.66026372867253","298.09108064172494","153432897"
"2021-07-03","298.17835653857895","303.8105118963118","282.84111739348566","287.49471676104065","153432897"
"2021-07-02","288.82054590549825","290.89763790280347","286.4926612116763","288.1161111769552","153432897"
"2021-07-01","287.5349366870075","303.948467283733","281.04851158699915","303.08228496596223","153432897"
"2021-06-30","303.66486347156194","304.92015399054424","281.3475139153916","300.262438562455","153432897"
"2021-06-29","300.7263370876128","315.69680099327536","289.2183865026502","290.09345743594747","153432896.9978222"
"2021-06-28","290.00567640627673","299.69558737203874","283.60257273320167","289.5963261778616","153432896.99766347"
"2021-06-27","291.01725100711866","291.7074076854878","269.79888532126614","278.9643348185803","153432896.99972335"
"2021-06-26","279.691590566879","290.2874210212625","263.51676367730573","281.8244160659435","153432896.99939114"
"2021-06-25","280.86544700802864","314.77512889780223","275.27577193301295","308.4759969016083","153432897.00188687"
"2021-06-24","308.54839138245836","316.36349480855284","281.57108762733003","296.0636957506872","153432897.00248334"
"2021-06-23","296.2698571281805","310.02412298417175","250.65789017917464","261.66726461060944","153432897.00176495"
"2021-06-22","262.16724348570386","291.9326043724302","220.96398423902497","271.90166482977895","153432896.99867705"
"2021-06-21","270.8606694951578","342.02609999259806","268.5693418754578","339.02936980762934","153432896.99814352"
"2021-06-20","339.068061975176","340.89359049250277","310.2441525561143","335.08981261097483","153432897.00214785"
"2021-06-19","334.10228604038036","345.18522821621457","331.3241508229781","336.3737548143212","153432897.00069246"
"2021-06-18","337.3154032627488","357.1944203723861","326.88128763514334","352.47988896638435","153432896.9982144"
"2021-06-17","352.8635485239649","362.44063600688946","341.60465624943714","347.09565813341425","153432896.99978146"
"2021-06-16","347.19352935956846","366.7996375494871","343.3841698667385","366.52341188451317","153432897.00047526"
"2021-06-15","366.57151821199363","379.6614914000823","363.20709101492275","370.08981270064146","153432896.9979716"
"2021-06-14","370.3245976196848","377.6044825934476","355.1040961731689","366.8663691875268","153432897.00170872"
"2021-06-13","365.8332205938871","369.84235786313087","330.5964035874146","343.58342887569785","153432896.99816823"
"2021-06-12","343.81164529032804","348.9573942449334","325.2756232572219","345.6337204565756","153432897.00138837"
"2021-06-11","345.77741405500814","366.38988399999994","340.94382503912726","352.1421074496649","153432896.99792093"
"2021-06-10","352.0503714721985","377.82382031015686","344.3007767569576","375.5738349221803","153432897.0000055"
"2021-06-09","375.6496646554785","378.80888288846893","333.80660061508735","353.884782659418","153432896.99883884"
"2021-06-08","352.8184494522986","366.513538806674","319.3283088554368","358.1971046643325","153432897.00194412"
"2021-06-07","358.0602168837814","407.5171160018912","353.9655368380371","393.55287199577634","153432896.99973288"
"2021-06-06","393.80112855869186","400.4228158951615","381.7401132032136","390.2678999334523","153432897.0011488"
