"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Supply"
"2021-09-17","28.18192114914836","30.12787059323588","27.76965554881399","29.82719171528939","452009553.9174637"
"2021-09-16","29.808405076006643","32.15227294890276","29.033020165154216","30.74318199155551","452009553.9174637"
"2021-09-15","30.697512656218308","31.45537378000246","29.65009990532471","30.768987270137007","452009553.9174637"
"2021-09-14","30.811603655620424","30.859384027693547","20.318433716275862","26.93266521087702","452009553.9174637"
"2021-09-13","26.965153032110457","29.941197423199498","25.213751513094294","29.370094814963434","452009553.9174637"
"2021-09-12","29.431796222665238","29.769575823419405","26.36846062844497","26.99310991795236","452009553.91746366"
"2021-09-11","27.003367788603494","27.69890688973712","26.261427265683484","26.343702598506198","452009553.9174637"
"2021-09-10","26.387583406180653","29.5598797265876","25.642696648802143","27.98385926702236","450509553.9174637"
"2021-09-09","28.004158497637274","30.19030258429436","26.473294360723802","27.24875062697646","450509553.9174637"
"2021-09-08","27.174873445353832","29.213843444892518","25.177976388593308","28.197545741557704","450509553.9174637"
"2021-09-07","28.25604873186611","35.34938667772114","23.958639217641405","34.807522053569606",""
"2021-09-06","34.82859840796355","36.342341516080445","32.54003690810333","33.5436439983675",""
"2021-09-05","33.5716033321493","33.63185742810466","29.556371765273493","29.903857426129818",""
"2021-09-04","29.901102744697855","31.177544854383893","29.43663701726615","30.786010602485526",""
"2021-09-03","30.766295349939256","31.746018789142717","29.07541703558942","29.97776145734631",""
"2021-09-02","29.96686896517184","30.892227022680043","28.77920646559151","29.753381742741567",""
"2021-09-01","29.743045049410934","29.835374337562246","26.109064240884532","26.72435758509615",""
"2021-08-31","26.71765154203484","27.565640588009305","24.71620939704485","25.037357685633065",""
"2021-08-30","25.043723181274267","26.49478723843086","24.330129708907144","25.80118212311946",""
"2021-08-29","25.78301627792555","26.590127460847405","25.164697694022763","25.731963623207374",""
"2021-08-28","25.750065219050686","26.207512184217894","25.378775980235527","26.030382236740063",""
"2021-08-27","26.054116970293162","26.15305145131997","24.010405578231858","24.39849530903751",""
"2021-08-26","24.39305045956035","26.95828192010064","23.908359479734507","26.537333436558217","447509553.91746366"
"2021-08-25","26.609942413103337","26.879147385435182","25.281484528103753","25.756760293208053","447509553.9174637"
"2021-08-24","25.728321297120402","28.946358468334203","25.710649618056948","28.635366672691905","447509553.9174637"
"2021-08-23","28.56374733978741","29.31957935404252","27.802606876661795","28.019060786910202","447509553.9174637"
"2021-08-22","28.00908453071366","28.670965775593135","26.812319592733758","27.876472256254957","447509553.9174637"
"2021-08-21","27.867535840538075","29.173877352197554","27.665490269627618","28.696281356407308","447509553.9174637"
"2021-08-20","28.692420531535063","29.050916316479757","26.651038013758615","27.092736545133867","446009553.9174637"
"2021-08-19","27.09358757505224","27.1369153843036","24.50013803401378","25.456758491827074","446009553.9174637"
"2021-08-18","25.33992513908386","26.921988615827228","24.861131510228564","26.14398812094159","446009553.9174637"
"2021-08-17","26.144286627318152","30.307908824638233","25.89273121556544","27.99880723736888","446009553.9174637"
"2021-08-16","27.97284183976501","30.519636864647605","27.47322562319463","27.909120404643815","446009553.9174637"
"2021-08-15","27.923332114889604","27.998164549320936","25.92158770379278","27.145138275879155","446009553.9174637"
"2021-08-14","27.166045872538014","27.971685296105694","26.398846377452728","27.755374520479858","446009553.9174637"
"2021-08-13","27.755111564825537","27.81029655961408","24.72880285541264","24.881958992579623","444509553.9174637"
"2021-08-12","24.948159186533033","26.91863268585775","24.110741064780644","25.92499566798001","444509553.9174637"
"2021-08-11","25.925332811924218","27.32127965599632","24.465233041971874","24.557274558690015","444509553.91746366"
"2021-08-10","24.54721123742998","25.526781596285677","23.756222682840647","24.231045613343824","444509553.9174637"
