"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Supply"
"2021-09-17","402.3125541215663","428.43973424424706","392.575908185676","422.28189080446384","5506107.50612311"
"2021-09-16","422.22682395115805","459.1988914053212","411.95723060026853","443.52868130431216","5506107.50612311"
"2021-09-15","442.7860868400111","450.4973020574296","418.4889496239566","446.8052732903966","5506107.506123109"
"2021-09-14","447.3913191228544","447.6169963586531","377.56310950025664","384.8487944646613","5506107.50612311"
"2021-09-13","385.1533537751005","407.2145641575573","360.6714315281077","403.3050731582859","5506107.50612311"
"2021-09-12","403.4739565458447","413.68517730522393","387.3806648530079","397.2186587703733","5506107.50612311"
"2021-09-11","397.53861933982114","408.30495332359067","388.6854220511169","391.7735923348764","5506107.50612311"
"2021-09-10","391.83966899943334","426.6246230224355","383.23092710460156","411.7468794008973","5506107.50612311"
"2021-09-09","411.57208035852926","428.53271148698116","375.56700676051486","411.83168484370407","5506107.50612311"
"2021-09-08","409.6508052644673","425.5146476330016","379.7049685747842","412.06043877306826","5506107.50612311"
"2021-09-07","413.2127494743578","510.4781226348215","350.91807319264143","509.4456760758292","5506107.50612311"
"2021-09-06","509.39615236286784","528.874762706122","475.89986279237837","510.22991299652693","5506107.50612311"
"2021-09-05","511.2550680411528","525.5881254865801","468.0885860193834","471.60245680978176","5506107.50612311"
"2021-09-04","471.3956946559565","483.1048309828552","462.0899635430027","466.7772791637239","5506107.50612311"
"2021-09-03","466.9575390020257","481.4529195105745","455.4716772467413","462.48629895356675","5506107.50612311"
"2021-09-02","462.30525143900695","483.15647174147284","430.40228281355286","479.4396902319389","5506107.50612311"
"2021-09-01","478.3563786226446","484.88125365531477","434.51262534727095","441.13016632812145","5505482.7057706"
"2021-08-31","442.2380635037438","448.0081358823923","411.30118542166645","419.8682261808111","5503137.11985363"
"2021-08-30","420.14148876710135","453.3073045265464","405.67593051539257","418.6190764683759","5491492.68556796"
"2021-08-29","418.7644861346847","427.5669785353915","399.3633896236927","413.7465853002711","5491492.685567961"
"2021-08-28","413.8907467508542","426.2344915792346","410.5331313894794","421.2894994744103","5491492.68556796"
"2021-08-27","421.42721831653273","425.6860410621761","390.0617425969363","405.27469714245143","5490898.32306392"
"2021-08-26","404.9728277665417","439.1301242894982","400.50792890665116","435.49292561065624","5489285.961121449"
"2021-08-25","435.56780747006366","438.1989311691141","411.6194400128568","423.06847629659757","5487758.07222973"
"2021-08-24","423.31306450635174","470.2399592659721","412.7567955126089","465.22475261710616","5486373.57096057"
"2021-08-23","465.51349522688287","484.9749814029035","456.1954095878728","460.32392256703486","5483821.52485393"
"2021-08-22","459.98807055476817","483.0093725932114","446.85642670298694","462.69363149360373","5482837.00343195"
"2021-08-21","462.773905079114","484.20415452406337","456.21211240299135","480.1430283329598","5478942.31964953"
"2021-08-20","480.1559277966763","495.6097086011686","451.9627826206563","456.0333814722499","5477806.68703549"
"2021-08-19","457.87372568878993","458.0741219641818","419.5100491557788","436.14143632772436","5476243.02114575"
"2021-08-18","435.54621976481883","460.15935430927357","420.32541166035077","447.48720385682304","5475053.62948923"
"2021-08-17","447.1420247192445","517.1901814935927","441.4612217989928","470.2984280799721","5473099.62215716"
"2021-08-16","470.0113310115062","529.7149034919422","467.9031888343837","489.32548635939247","5469683.76244371"
"2021-08-15","489.3772006737523","492.1264286322661","447.98749224352474","477.22597139780316","5467352.77817342"
"2021-08-14","477.58066207447115","486.00860014784575","456.0797785706672","484.18067182195995","5466058.00661598"
"2021-08-13","484.1401157617559","484.75458778568094","450.256860467121","453.4601109891568","5464777.91692835"
"2021-08-12","454.08377204888524","482.27224262892884","440.2430387910533","468.5488575529772","5461472.20720736"
"2021-08-11","468.2930240801668","497.93370515323227","463.3648106382302","472.4586863329085","5459959.38223435"
"2021-08-10","472.64771029250267","485.0573884364796","459.1924066115757","467.7178717837685","5457695.68579052"
"2021-08-09","467.57032137827827","488.0425024237525","444.93099642820874","467.0378527773297","5454402.93831818"
"2021-08-08","467.2293844249879","513.257720008891","457.03913623782825","507.35220520947837","5453036.38033275"
"2021-08-07","508.1511799600679","508.2001312612056","462.0939498904188","466.44792629719694","5449929.71498299"
"2021-08-06","466.7065586788394","485.64033977134005","450.1227614996461","475.17182825421264","5447940.76710835"
"2021-08-05","475.6650313254577","494.8765861111625","436.276072348738","464.52463107714084","5447196.98471102"
"2021-08-04","464.3293838091126","473.1488491833562","388.7214017356892","396.03961883375206","5394876.49396383"
"2021-08-03","396.43358133446816","408.6670325418384","383.94304853491224","407.59409715940853","5390310.12201489"
"2021-08-02","407.5035439511884","426.75138685880853","393.5102524622972","409.93626934267724","5387783.259707261"
"2021-08-01","409.15385623950027","425.2295223212095","392.3703035352223","406.1065158136046","5386132.83547659"
"2021-07-31","406.0626414660968","410.1163543571611","393.1582337447238","404.7245290372091","5382159.19137734"
"2021-07-30","404.4221596446214","412.11573656713557","382.23171731328955","396.17959285067997","5380077.97989814"
"2021-07-29","396.5216030993601","401.83629358576417","378.3086039560646","387.1956906835642","5377584.58948237"
"2021-07-28","388.3708009293679","400.30733190291755","380.7362003214524","392.70781645440985","5376551.55491795"
"2021-07-27","392.8109613469822","408.2614185397346","375.8723275735238","392.66506314433184","5375139.36730459"
"2021-07-26","392.20920122492544","438.2659770572282","385.0728642137386","391.336803185297","5373018.3264792"
"2021-07-25","391.65764344916875","412.9816372133149","370.3114517041798","409.4092994305999","5369638.659073939"
"2021-07-24","409.7898426554364","428.48964386880743","402.0261850774581","417.6534273150036","5367968.417860379"
"2021-07-23","417.84939192257247","427.0287579063222","385.8644265381581","412.5667339208727","5366688.1044199"
"2021-07-22","414.21700228429984","415.18765650368067","368.68355657126494","376.07271537824744","5365403.52851981"
"2021-07-21","376.5564657316345","398.9907913426416","338.69023803792237","349.7404593622718","5363912.45885562"
"2021-07-20","349.71770973613593","362.16148591425855","310.14708506381305","339.1517219230915","5362396.18131194"
"2021-07-19","340.0076855833971","379.85219372152994","334.86976773640953","379.67614462315515","5361004.39596024"
"2021-07-18","379.3706829807838","398.78447899468745","371.69438326957095","378.7802565529127","5359377.43481449"
"2021-07-17","379.0603928511209","388.42865224156833","365.3357844639109","368.18325502512863","5357753.38994096"
"2021-07-16","368.18373085024206","409.83945242966655","366.88750008517223","398.59828598126643","5355160.40263844"
"2021-07-15","398.60742748793217","431.2842704414333","392.77301105933606","410.07790382231525","5354099.411692559"
"2021-07-14","410.3180343629039","424.4047373257839","359.27695390155395","387.33931664448744","5352416.24833304"
"2021-07-13","387.4214587353665","417.4677070174078","381.1679562783487","412.7521573584132","5351225.80175643"
"2021-07-12","412.4818487935729","444.4393924993311","402.2019014920053","435.25592783234697","5347482.03643829"
"2021-07-11","435.56415962389235","457.64649899968344","414.39992253504613","423.11206293663724","5346306.98664318"
"2021-07-10","423.47161317468476","448.80805791873837","409.1034210595059","434.3374709302144","5344104.81681803"
"2021-07-09","434.46690524694986","440.9535538193671","386.7747289839777","415.0131729119685","5343337.197501439"
"2021-07-08","415.00601603143605","445.58364693660826","408.7592196353998","440.2896002406619","5342571.52797286"
"2021-07-07","441.61380776482383","492.64342772784875","434.71764121047755","482.0603760836891","5337687.5257866"
"2021-07-06","481.6702007728059","530.6617799323874","461.6386192899824","492.58227009773316","5333845.71520021"
"2021-07-05","492.48081817909093","519.8711271741864","412.4979206995699","444.1257246000833","5332139.84633528"
"2021-07-04","443.9805407681985","464.631801486809","368.58116721717886","380.03886757622666","5329601.2184486"
"2021-07-03","380.6068588782637","386.7819241895023","362.2191840081402","368.5017560146742","5328717.66867436"
"2021-07-02","366.91887918813865","367.29703773629865","318.4748243072062","332.94217857512035","5327560.36551672"
"2021-07-01","332.14372405851503","356.89014761825183","319.50760857568696","338.40912610220204","5319898.82667612"
"2021-06-30","337.9969146885773","338.4172984722376","285.13705082213943","309.6652941966897","5318111.19877814"
"2021-06-29","310.9655266932425","329.30895637708954","307.2631687178535","312.44243287644076","5316682.210908875"
"2021-06-28","311.8035461669124","319.7220742808606","248.9044955191823","257.3841534147998","5314335.769820649"
"2021-06-27","257.5216590588579","257.9002599571815","223.56896756671614","225.28313876737084","5312456.942747882"
"2021-06-26","225.35990335740257","232.52452476549774","211.66222985170472","222.40827352569042","5310260.376331033"
"2021-06-25","222.03285606516746","260.5231508905957","218.7391667728608","256.33746616389885","5244845.752547419"
"2021-06-24","256.4061631669662","260.36825991873343","227.32429797896694","241.83069062974113","5244845.752502956"
"2021-06-23","241.88498622147858","271.0585741379137","225.09828899743874","234.43687003930708","5304761.697204355"
"2021-06-22","234.97220457015092","247.729067059709","196.62889956532786","222.29444188308847","5299940.898490973"
"2021-06-21","221.97559570062666","295.8038161605139","220.8020953006718","293.63372104555066","5299735.684755327"
"2021-06-20","293.59717583411816","299.9071559519339","259.78042517382227","272.89148750729845","5298586.789707529"
"2021-06-19","272.91420485443393","287.4889604249506","271.5654944194922","278.23794022088373","5293981.832011603"
"2021-06-18","279.267540720095","308.8518770982962","265.09095751259485","306.80230497062223","5252705.41112374"
"2021-06-17","306.69116781383593","323.8834461137613","296.81120252210985","304.84328215171644","5252064.136719799"
"2021-06-16","305.5260468396243","328.5395845977916","301.55239758602306","325.26457747916504","5248395.9863586435"
"2021-06-15","325.5408511351975","349.2751806417399","321.6378852624013","336.68937501432475","5247024.871172688"
"2021-06-14","336.75559769920295","343.1439280073157","317.1606429426421","324.1584993974472","5246228.89438089"
"2021-06-13","324.0642389941335","331.8406834021387","284.867619811176","296.1746512326425","5244852.2203138955"
"2021-06-12","296.1360943066391","306.2262107929622","278.96725494517017","294.76051865920533","5242601.540561178"
"2021-06-11","294.994115197383","331.18535297131933","291.07660017866317","327.49574213821325","5241668.329979146"
"2021-06-10","327.9991330559104","365.38511913853876","320.76","363.81885368294684","5240203.129892817"
"2021-06-09","364.0690845580805","385.2811010633114","329.21966760796676","351.7241057767858","5235918.564980259"
"2021-06-08","350.4630244265018","352.35","308.19595085780867","342.8091903897409","5235172.215105286"
"2021-06-07","343.20663804976147","413.81","341.0249330874569","388.52662780010803","5232166.115674757"
"2021-06-06","388.3699904699822","395.1905846038965","377.6021421665771","387.3451624487995","5230124.883452125"
"2021-06-05","387.4680587645203","418.15463065868175","377.1614881974831","401.56905032652503","5229145.31810041"
"2021-06-04","401.6751364060512","449.73439677112714","383.6069921463519","449.26747328777003","5227891.937908016"
"2021-06-03","449.6876355026501","453.71552271655014","425.6818945460557","434.48187624000724","5226796.487899785"
