"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Supply"
"2021-09-17","198.46172535597498","209.48275273401998","195.02016518144256","208.3123820618692","10334003.54528539"
"2021-09-16","208.28224693416328","220.415035603708","202.58247244042772","208.97848492730648","10332546.347054"
"2021-09-15","209.07610743696998","209.84885286469802","202.74184200828148","203.29875939254353","10331070.39811007"
"2021-09-14","205.81128188814523","205.98840121249134","194.78530045776614","196.62730011322157","10329615.87855189"
"2021-09-13","196.66317533981126","214.92452107938945","186.5465388744544","203.6253513115295","10328150.64430084"
"2021-09-12","203.63642177176797","206.39128205136356","189.19491460413428","194.0213173216454","10326680.05270334"
"2021-09-11","194.0659259920264","203.82840986975134","191.64732169200215","192.9901982239065","10325220.17579872"
"2021-09-10","192.9541598873487","214.82828512149655","187.2547272764509","202.43076848695156","10323728.15481547"
"2021-09-09","202.48857976469367","207.95045356958198","194.86992875980326","203.76545062659017","10322262.92056442"
"2021-09-08","201.7349055928132","212.04482430232778","184.50816575771324","207.09490359591067","10320786.97162049"
"2021-09-07","207.19741276840082","256.5712516992022","185.48599459044064","255.7063759249826",""
"2021-09-06","255.79162262903404","265.6474747137537","250.06647945462598","264.46388584862973",""
"2021-09-05","264.5752609650871","269.0451070703586","248.38037290860896","251.83379717026642",""
"2021-09-04","251.8607771348223","256.53965069655624","245.1697357926484","247.61361779094938",""
"2021-09-03","247.5055705355818","251.58964399881708","233.13996575501633","239.12281859193524",""
"2021-09-02","239.1448061846387","246.15483142685298","234.99940754168503","238.94667678833977",""
"2021-09-01","238.96827943883835","240.63287757565166","216.2224319901425","223.84362532828175",""
"2021-08-31","223.92542254476015","229.05303496735027","212.7177962138681","216.44966840704816",""
"2021-08-30","216.5445336727871","231.25678422039329","215.13804163598743","225.25886524398595",""
"2021-08-29","225.46665730758815","247.35093373315","223.012693491866","236.63529529278438",""
"2021-08-28","236.5747161582267","243.25932120126225","234.54862922893838","242.17383537634132",""
"2021-08-27","242.39475042818754","243.70651225923268","222.307617282687","232.17932257805074",""
"2021-08-26","232.1026170352753","265.10873768461516","230.46766929088457","264.51030328749204","10296822.10360492"
"2021-08-25","264.4789783205386","264.7283226541468","239.35877223351864","248.21561448439195","10295354.19068065"
"2021-08-24","248.29858262278918","274.1541591000446","244.40183676974974","270.45180756327625","10293894.31377603"
"2021-08-23","270.54206610539325","285.1004554999582","254.89024681891547","255.11861332897527","10292434.43687142"
"2021-08-22","255.37893957340285","257.0824254894666","230.1776441928841","237.4245571278912","10290966.52394714"
"2021-08-21","237.4505591145786","249.06398423834474","226.89835397547574","232.71338113428016","10289520.04040862"
"2021-08-20","232.8490688717181","235.6235867085434","218.2905619999997","220.17484003308977","10288057.48483079"
"2021-08-19","220.10597583209685","221.1350068897983","198.90739993249514","209.92896524678522","10292046.92265835"
"2021-08-18","209.8261258584236","213.82653159167327","186.13360342694327","194.72577373828273","10290581.66948434"
"2021-08-17","194.7213820297528","211.59743150437197","185.95780061769676","202.03171457666605","10289113.74674218"
"2021-08-16","201.4787950375955","216.9572040812142","199.09980607953682","215.39678583539228","10287621.71395581"
"2021-08-15","216.06124784387356","217.560923075348","191.44644255709338","199.11511259331692","10286161.82273259"
"2021-08-14","199.17254305526146","204.97556214988015","190.65666635835515","202.59741731915653","10284685.85885597"
"2021-08-13","204.66738057633228","210.45167821831623","177.89406821972779","180.25486602904653","10283228.65692609"
"2021-08-12","180.2918676343313","190.6274357606526","170.51412887253207","181.84950828491105","10281766.09360353"
"2021-08-11","181.574920166634","188.0774924702573","175.69922466875903","175.86563613370578","10280303.52797311"
"2021-08-10","175.88955093147126","180.28759061573842","169.31073787713524","179.1129990981824","10278824.88977446"
"2021-08-09","179.14049358006352","181.2530921892793","156.79947420501765","161.68167713248462","10277335.52854557"
"2021-08-08","161.7241373606534","172.51413609482756","159.55221960056625","170.42316960005587","10275881.00103342"
"2021-08-07","170.48580394023463","173.63459132223076","164.26522981395985","166.9083416400938","10274413.08341544"
"2021-08-06","167.3147576650541","168.30413303533066","160.22646303666622","164.5526825733109","10272937.12626088"
"2021-08-05","164.52786113749178","165.2968911933333","154.87415061699872","161.42494829318562","10271463.84957812"
