"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Marketcap","Circulating Supply"
"2021-09-17","3402.287289702712","3594.935372309662","3360.0720627914675","3571.09750756431","416562157772.40186","116648217.218947"
"2021-09-16","3569.192972496902","3676.502987123211","3483.4998275753296","3615.152932805557","421665338529.34","116638312.781447"
"2021-09-15","3615.5502169538536","3618.44727667052","3362.550432935339","3409.731779865766","397659153368.85065","116624760.843947"
"2021-09-14","3436.0997117102083","3438.5258700171653","3271.6904741321077","3285.094113527855","383075654373.3715","116610252.593947"
"2021-09-13","3286.08857897633","3431.1932083071374","3111.867561747428","3409.7396239379814","397561367727.6551","116595814.218947"
"2021-09-12","3405.443660617752","3473.8734572168496","3231.849678185707","3267.2736208010065","380906724428.81476","116582438.031447"
"2021-09-11","3267.529291203052","3348.930580387459","3200.9092639553355","3208.5914143839386","374021817211.08167","116568851.843947"
"2021-09-10","3209.7857428805355","3516.408053956043","3149.150142514451","3428.0432584564446","399557147461.7259","116555456.666447"
"2021-09-09","3426.2709136952426","3569.317718684099","3392.6996372889935","3515.0460187333138","409650417248.0358","116541978.416447"
"2021-09-08","3500.503171010905","3563.0143579083865","3216.8307390173263","3433.1442262452097","400059033387.40594","116528466.916447"
"2021-09-07","3435.8786157590143","3950.71650728288","3007.3148363967475","3931.603077850679","458090426605.1353","116514922.166447"
"2021-09-06","3929.16205242408","3973.0463831323705","3867.926867872463","3953.7056264347566","460612535135.358","116501474.478947"
"2021-09-05","3952.784425153317","3984.488863364389","3835.3828101543054","3888.863962173424","453005882872.49664","116487973.680447"
"2021-09-04","3887.9310078362805","3972.366489066465","3834.1997329164187","3940.0951014815055","458920043189.8627","116474356.930447"
"2021-09-03","3938.4659876815454","4030.220009631516","3709.6648360696227","3788.5405710587147","441217028546.2928","116460948.555447"
"2021-09-02","3787.8108426208964","3840.7297180801897","3721.558195117927","3794.7195897467127","441885392626.9096","116447442.867947"
"2021-09-01","3829.8793077416576","3844.1909668303815","3383.707926572808","3418.2167354700987","397996030792.77313","116433819.617947"
"2021-08-31","3431.829632288212","3476.28635452604","3190.0334767326453","3272.732084533382","381012580964.4737","116420339.680447"
