"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Supply"
"2021-09-17","391.7135628798405","417.3670847857886","387.1117448222011","409.45394956801084","8470098.05726206"
"2021-09-16","409.4869962172205","441.15017922848466","400.6289475947185","429.11159127898566","8470098.05726206"
"2021-09-15","429.0034040247099","435.14939530379365","405.2289772242571","418.03596526785316","8470098.05726206"
"2021-09-14","418.2047482756081","438.4569346063043","396.3865731143021","404.9993179153501","8470098.05726206"
"2021-09-13","404.9602173437817","446.63643379257013","376.96053122552587","434.604618040659","8470098.05726206"
"2021-09-12","434.5791609284343","451.61875796785034","405.0523265231463","418.7805781491662","8470098.05726206"
"2021-09-11","418.9850688848665","424.89965584936505","374.7163892737386","385.0977365884852","8470098.05726206"
"2021-09-10","385.28459913439104","424.91271239027446","355.08517700539625","388.71414923274625","8470098.05726206"
"2021-09-09","389.773427344246","393.63155889694485","325.7005878852646","341.1304449701416","8470098.05726206"
"2021-09-08","341.3199283781456","356.74352924637486","307.22537058969993","330.3689198170655","8470098.05726206"
"2021-09-07","330.78875873070956","398.1998176275451","277.40917338738564","395.6535342037673",""
"2021-09-06","395.7482225806002","408.5496856321913","372.14119275904164","402.8072473554013",""
"2021-09-05","402.7819116742454","408.55807639377906","386.72175614293445","398.233445933962",""
"2021-09-04","398.1572403099562","420.4603135560849","395.71378602204504","406.60915642253707",""
"2021-09-03","407.04470895334237","430.819098760372","394.54140376395065","401.45886615037296",""
"2021-09-02","400.8008944539015","420.06514804942907","380.51795866694175","388.38269793926435",""
"2021-09-01","388.87087087432303","419.65082820137644","367.04393358235075","394.63364159533756",""
"2021-08-31","395.3231122055505","420.91128486144964","296.6460856629386","298.30598207623865",""
"2021-08-30","298.30502862346884","322.8692669506755","286.25443080793445","297.1233772324106",""
"2021-08-29","297.21777130434816","327.5872654762472","291.09803250724565","305.39173761375355",""
"2021-08-28","305.39986661013666","320.8393408410787","296.6641588763254","305.70713224040986",""
"2021-08-27","305.8564917042526","312.28311497535407","266.68849295905636","277.2332540144467",""
"2021-08-26","277.295172392158","310.7729467079616","273.62005246973075","303.6656135536914","8470098.05726206"
"2021-08-25","303.7384465456261","309.33376057489494","283.2465772799322","296.1274163193154","8470098.05726206"
"2021-08-24","296.19801224007796","332.4531166700772","286.46644877332324","328.25943327676634","8470098.05726206"
"2021-08-23","328.29527981684214","341.0750599372708","321.03598601990524","331.16234325565324","8470098.05726206"
"2021-08-22","331.0884903550112","343.836304132788","317.49578696033956","330.75609300676354","8470098.05726206"
"2021-08-21","328.63360977512406","353.53874176805476","326.8867102577869","345.7991704562161","8470098.05726206"
"2021-08-20","345.8408010168799","350.3490047072571","312.831281767726","327.51788273050937","8470098.05726206"
"2021-08-19","327.60942588523847","339.31810913640174","275.2323907707193","281.7742223627626","8470098.05726206"
"2021-08-18","281.58605764833897","304.064751309764","261.08987304613765","277.3066915387555","8470098.05726206"
"2021-08-17","277.45721215362056","325.12554380105166","268.0659653947494","300.26835578693044","8470098.05726206"
"2021-08-16","300.4654802401024","318.6427465037147","270.1811157155259","274.0500152438416","8470098.05726206"
"2021-08-15","273.88080606976644","278.04060388529234","260.16690654240364","273.1250631282093","8470098.05726206"
"2021-08-14","273.11176103806264","285.7230861749731","263.43522540505245","281.2834530492381","8470098.05726206"
"2021-08-13","281.2476814119457","282.9230996401867","256.17889137361254","261.20315234377557","8470098.05726206"
"2021-08-12","261.66897611943926","279.9544851900903","247.06294064344152","268.0721693503011","8470098.05726206"
"2021-08-11","268.05439581369626","294.21482772190376","241.22492462238625","241.36852610850195","8470098.05726206"
"2021-08-10","241.19174609580432","401.97831066387687","217.1887133991007","221.7321393426925","8470098.05726206"
"2021-08-09","221.63527763253248","229.61055157104778","207.3693571996063","215.90055108308107","8470098.05726206"
"2021-08-08","215.8670056765126","235.82943399712184","211.4735458815907","235.30344598051738","8470098.05726206"
"2021-08-07","235.2621717955225","243.51731270204584","223.64884165621717","227.4331667132638","8470098.05726206"
"2021-08-06","227.5183442602356","236.71605046998917","211.34399127971534","216.05757294663113","8470098.05726206"
"2021-08-05","216.11857017230903","219.73928680870875","202.46874801833226","214.99849357578447","8470098.05726206"
"2021-08-04","215.1179262928713","218.555376197401","198.59463367792478","201.4537427209357","8470098.05726206"
"2021-08-03","201.80513258850647","209.2217513726016","192.78253441239923","204.91712859797354","8470098.05726206"
"2021-08-02","204.901352776862","213.8338754852807","200.70304768809572","211.40286290387738","8470098.05726206"
"2021-08-01","206.77842961586413","223.26149675900416","196.0291958841887","198.63841862944733","8470098.05726206"
"2021-07-31","198.50114084729114","203.99739784626416","191.33090057949244","194.84121093415175","8470098.05726206"
"2021-07-30","194.62786980128766","198.55431892754686","182.06962839144308","189.6074373303298","8470098.05726206"
"2021-07-29","189.95402231092976","195.41277283237804","181.2852307803953","187.88557296219534","8470098.05726206"
"2021-07-28","188.14842328132505","193.94696491205775","181.5822479767858","185.5761460058588","8470098.05726206"
"2021-07-27","185.4995260638258","189.51034215009986","176.3269181501974","184.86452543989287","8470098.05726206"
"2021-07-26","184.82902200015408","206.78137884425803","183.05393747464765","184.57327997908448","8470098.05726206"
"2021-07-25","184.501323929781","189.7672287667751","175.81142239290227","185.94809406353755","8470098.05726206"
"2021-07-24","185.88216041492916","189.07795770196827","174.1320686717118","178.18142358468143","8470098.05726206"
"2021-07-23","178.03627228265216","215.69944661056257","163.032234063719","174.35574437087763","8470098.05726206"
"2021-07-22","175.4498905273602","179.60470644841163","165.27908651251983","174.38558415284834","8470098.05726206"
"2021-07-21","174.58704714672797","182.49943917354975","144.2009243737634","148.45962775840755","8470098.05726206"
"2021-07-20","148.48981109227665","166.99497759431748","141.90290487909917","163.7205780660653","8470098.05726206"
"2021-07-19","163.63688125357956","182.41085163154182","161.38157429305133","181.5586420188028","8470098.05726206"
"2021-07-18","181.4158963837691","187.91823595545256","177.87310759318797","178.65086761340862","8470098.05726206"
"2021-07-17","178.88995594813866","187.81991773655267","175.71423110937008","180.44441540466366","8470098.05726206"
"2021-07-16","180.2686225720748","202.30135866099423","179.64689483841212","201.81057811621477","8470098.05726206"
"2021-07-15","201.80216648628425","209.86310545194158","180.05155349941978","187.58972352914003","8470098.05726206"
"2021-07-14","187.49804580821086","196.79564026755463","176.24211029004667","192.39025175386263","8470098.05726206"
"2021-07-13","192.34413254123422","203.84535808664373","189.20316725099994","200.86306164969852","8470098.05726206"
"2021-07-12","200.6225998834038","213.39735354332524","193.34779111003087","210.6594780539233","8470098.05726206"
"2021-07-11","210.396199561531","215.01579749330332","204.30852319401134","207.8413024752071","8470098.05726206"
"2021-07-10","207.78833074198565","218.9152959216132","202.51017992361008","213.24616383353427","8470098.05726206"
"2021-07-09","213.28882961032758","216.5077297351505","200.08313481681066","212.8946285813022","8470098.05726206"
"2021-07-08","212.74317789820202","237.88522304314532","204.54178450274213","236.79209058619307","8470098.05726206"
"2021-07-07","237.01909682375782","244.75211457669653","223.94774179235532","224.07922206593253","8470098.05726206"
"2021-07-06","224.22829213595273","225.78292453127023","197.5874392711889","198.19914272129648","8470098.05726206"
"2021-07-05","198.2384791608783","210.11","192.2167322618201","210.11","8470098.05726206"
"2021-07-04","209.95960449823275","217.9628883989687","200.64630317517376","206.40395073718116","8470098.05726206"
"2021-07-03","206.76056562395203","213.642612417086","198.07239076881245","204.5","8470098.05726206"
"2021-07-02","202.12080991154392","203.98377005415227","197.49150315289023","199.9213492560015","8470098.05726206"
"2021-07-01","198.71928964653162","215.20330664587203","193.2024726367509","214.58343833121566","8470098.05726206"
"2021-06-30","214.97989413324336","216.60919951115676","191.1291315203212","212.41115437600214","8470098.05726206"
"2021-06-29","213.88485564392167","238.35818119236959","206.27974325905546","218.52896972293763","8470098.057087017"
"2021-06-28","219.90562958004554","229.9883671635129","175.6023379803662","179.01052684319185","8470098.05722142"
"2021-06-27","179.35919032074568","179.45269627489932","161.92830402252866","172.87150798912165","8470098.05717244"
"2021-06-26","173.36508230981815","181.34432114982596","156.73701517926887","175.21854762718854","8470098.05724985"
"2021-06-25","174.04503771646063","213.20856171687328","172.20517952825492","205.2173321395408","8470098.057114113"
"2021-06-24","205.70717641443358","217.2250537879506","186.40234589768775","203.7050561366052","8470098.057176618"
"2021-06-23","204.14455449994753","225.02128780292486","172.6675558316609","181.41779441882653","8470098.05720571"
"2021-06-22","182.83820885533018","239.72205336147243","163.26","211.96499674454773","8470098.057132255"
"2021-06-21","211.66751209756157","302.5724890556214","207.03450237486592","300.75","8470098.057342585"
"2021-06-20","300.1455114222916","315.40090299736045","271.98196584045405","301.5778661283916","8470098.05713259"
"2021-06-19","300.5724948334211","327.0505066189951","300.2838713287486","313.2260903306447","8470098.057322944"
"2021-06-18","315.6986026713582","347.8093285204058","299.42594653477636","347.455306913007","8470098.057174714"
"2021-06-17","347.29015164323573","377.1979648537955","338.14364306297074","365.6460282154875","8470098.057287196"
"2021-06-16","366.6930959328326","389.70990350284313","353.9850687437189","385.9131005773802","8470098.057180014"
"2021-06-15","380.0586963325466","429.31797830265384","380.0316304088861","428.4308278237354","8470098.057213504"
