"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Supply"
"2021-09-17","180.85318742267054","190.55663392159187","177.6420559837538","185.4854477046754","68555394.2024525"
"2021-09-16","185.33554880249088","195.36865789266318","181.58747275543772","189.25287707403103","68550856.65673155"
"2021-09-15","189.14922923807507","191.98952482164208","179.74851971945918","183.0468717369469","68543781.54363994"
"2021-09-14","183.13206005774342","189.01420309932308","176.18856549935794","180.53427387219105","68537181.45451583"
"2021-09-13","179.39268336838305","238.1420973222589","170.82169101223403","183.13051374516988","68530381.30691916"
"2021-09-12","183.05734092435503","186.13955398436116","175.19111312203816","178.5171410222482","68522643.68974105"
"2021-09-11","178.54149508062403","186.1461869243203","173.40643909779968","174.05910249580003","68514918.63301136"
"2021-09-10","174.12953516848845","187.41047084173186","170.8593988256529","180.37800793009592","68507543.55507895"
"2021-09-09","180.45208684832417","188.76611642864438","176.56402011324357","180.25138012373017","68500555.86908998"
"2021-09-08","179.71029665705257","188.9723242031867","169.39632115004","178.52048180000514","68493530.76832724"
"2021-09-07","178.41344040195528","221.97935961587174","162.2521321869658","219.50203124163235","68486367.82710366"
"2021-09-06","219.49668708547256","232.55673795729493","215.0941175962284","231.51388541990056","68479380.21552865"
"2021-09-05","232.39470859223408","232.63708458879373","210.58682454870902","212.23214876421625","68471817.57269312"
"2021-09-04","212.02754916591405","225.26549210984203","208.54851454051604","212.7733104058238","68464479.9426555"
"2021-09-03","212.9718207842068","217.77636253169555","179.91336127086507","183.483411612727","68456767.35004286"
"2021-09-02","183.44085667073784","188.00561078775144","179.48976192341493","180.9499022865233","68449517.22434059"
"2021-09-01","180.9388201780162","182.80758676342398","168.79371655257785","171.522501650639","68442416.97243908"
"2021-08-31","171.61551604384732","175.40783440323509","165.71167280119985","167.33317376549937","68435129.31984894"
"2021-08-30","167.41313787040534","176.55078177289272","166.59562276081022","174.41639498738948","68427841.65900046"
"2021-08-29","174.4804313218663","182.76353056310202","173.17854757323192","175.44551888044668","68420241.4959738"
"2021-08-28","175.72124764477817","177.21834476705624","171.42125313977832","176.18131141120037","68412453.82386151"
"2021-08-27","176.3092561442895","176.4012017313874","165.0773525511658","167.7555480468759","68404666.1843398"
"2021-08-26","167.74382816902232","180.29839674196904","165.0791921396091","177.67544462140094","68397678.5271801"
"2021-08-25","177.87134769046125","178.98611775004727","169.13951299662213","173.4955337945993","68390740.8411397"
"2021-08-24","173.44320424549142","188.6826441922095","172.31322905203112","187.03367462476004","68383340.59789345"
"2021-08-23","187.09791936877247","191.87805775818896","183.66579530140203","186.30428884739956","68376315.28008896"
"2021-08-22","186.05393674214798","189.83362174307254","178.61297911679873","181.08758958212505","68369652.41271742"
"2021-08-21","179.79512574711407","184.53834079197264","176.6837383302077","183.66431095008338","68363177.3192555"
"2021-08-20","183.6444731557928","184.11129914850414","174.1511023930669","175.63617085785205","68355927.07205997"
"2021-08-19","175.61461046937407","175.84250286706938","162.67706867524586","166.3404098246478","68347964.27444637"
"2021-08-18","166.72223508868043","174.6330064537326","162.99537682969734","168.58111607343074","68339726.45527972"
"2021-08-17","168.66564496083336","184.44747667325677","168.0739760229825","178.26983560218127","68331963.58967939"
"2021-08-16","178.1272903000574","189.1770805335941","176.58036697034007","184.92624909553416","68324625.72913449"
"2021-08-15","184.79546168272637","186.67493995820007","175.34084387000962","182.75607072564137","68317350.40327847"
"2021-08-14","182.9332254286572","185.13133933625875","174.85763767829337","183.3785217401465","68309637.57255517"
"2021-08-13","183.40166012749063","184.7152709578353","164.08732066436977","165.25607316508837","68302924.69989404"
"2021-08-12","165.44508912890038","179.83725245761107","160.86697854858468","170.71779196565282","68295986.85312885"
"2021-08-11","170.72048042102915","176.14557174009565","164.31100575117023","165.52107646374805","68289086.45718727"
"2021-08-10","165.37679243747934","168.41365743634913","158.84820368671498","167.02194474711766","68281973.65484016"
"2021-08-09","166.39898287706362","170.88919481664232","145.17485758916024","149.8200126323124","68274885.85969774"
"2021-08-08","149.8561481039066","157.74071340697074","147.0661373907993","156.013542731869","68267810.72473438"
"2021-08-07","156.07963488236135","156.60688760923196","147.18651930800098","149.93336867083167","68260460.62131117"
"2021-08-06","148.0136991181394","151.2944675551417","141.81841360342912","143.4695383320226","68252397.85840502"
"2021-08-05","143.61520456182816","145.2960449092186","135.88281317109892","142.56867116659248","68244385.19417629"
"2021-08-04","142.49234880125468","144.5197178784925","135.5783633895822","138.25142119665333","68236485.00918996"
"2021-08-03","138.46697656652447","143.301756347812","135.59994813500134","141.36109761063943","68229509.83962446"
