"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Supply"
"2021-09-17","2812.6562519038034","2994.5672270050104","2753.546455587786","2970.6454311626585","991328.38195493"
"2021-09-16","2970.592916901451","3171.6255915903985","2913.1163284120644","3067.0237776704516","991328.38195493"
"2021-09-15","3063.6075620051574","3079.223865165168","2827.0062781821284","2920.7487098342813","991328.38195493"
"2021-09-14","2920.6166531747995","2946.4803552313233","2786.803755909507","2806.728193987887","991328.38195493"
"2021-09-13","2807.6547007509903","2898.426558678227","2632.260654505611","2876.3344445547896","991328.38195493"
"2021-09-12","2874.72150591301","2966.7815366452974","2791.2673797699276","2841.000906315126","991328.3819549299"
"2021-09-11","2845.9745345047986","2917.3791321183257","2767.7033202277903","2779.487032387193","991328.38195493"
"2021-09-10","2782.10818349566","3120.1055322822176","2716.3997747520393","2937.026787573215","991328.3819549299"
"2021-09-09","2936.7073096194017","3094.6552219872356","2908.653296901989","3049.801819947022","991328.38195493"
"2021-09-08","3020.65592459054","3133.106733437033","2811.7136823635965","3051.4145175393082","991328.38195493"
"2021-09-07","3051.5732366520974","3625.7540329251524","2786.513695415641","3621.4856390781533",""
"2021-09-06","3622.1239212623004","3725.7840361787134","3556.4723408562545","3721.3620732917566",""
"2021-09-05","3720.7820193247358","3725.345367855143","3525.463035801638","3551.2840355366066",""
"2021-09-04","3550.123166053466","3726.5250057427847","3541.954444660166","3653.90556587054",""
"2021-09-03","3656.6724770913643","3753.655394282711","3477.7456958720263","3550.72861229774",""
"2021-09-02","3546.7188131198377","3701.4775913594813","3545.109912863647","3699.3701547420164",""
"2021-09-01","3698.3385662263577","3708.687177306411","3426.384982715682","3519.6744527466744",""
"2021-08-31","3526.247627866766","3574.0573708241136","3316.488334891724","3362.494182656161",""
"2021-08-30","3360.8052954080035","3535.238921823773","3311.899453648212","3455.457188687614",""
"2021-08-29","3456.0378060897306","3681.1256361798564","3373.308425656216","3606.661028901306",""
"2021-08-28","3606.9167036430877","3781.8610322337313","3584.2005525242475","3747.8363436837185",""
"2021-08-27","3751.2779962895916","3792.443967535224","3545.752651193144","3589.5914603256765",""
"2021-08-26","3586.5161539074043","3741.588423276811","3444.7821563760026","3697.741666669918","991328.38195493"
"2021-08-25","3701.254112223106","3750.850713511362","3497.649691550183","3633.584967987864","991328.38195493"
"2021-08-24","3631.6943255461733","3907.3368046337855","3595.953265378779","3875.2502534151654","991328.38195493"
"2021-08-23","3877.8769165026406","4013.7124158826728","3794.2472450652185","3809.4749170648456","991328.38195493"
"2021-08-22","3805.873798320602","3889.495354423443","3696.458698183274","3870.1549829182886","991328.38195493"
"2021-08-21","3872.097164949179","3984.7944295655466","3700.0006802845883","3819.296364628337","991328.38195493"
"2021-08-20","3815.3553297062585","3855.6283197010875","3694.376357659732","3742.5966584191538","991328.38195493"
"2021-08-19","3744.9307598319774","3750.1286057385378","3447.890990303314","3517.0725824020838","991328.38195493"
"2021-08-18","3515.049668838243","3637.465673120853","3373.2582595953354","3447.275943866522","991328.38195493"
"2021-08-17","3449.351401725762","3779.7806306428997","3432.848480314822","3621.047148739405","991328.38195493"
"2021-08-16","3585.892816883719","4082.1509889225395","3565.5823180944817","3805.3523033357587","991328.38195493"
"2021-08-15","3805.223605227639","3884.6684162078022","3621.6668283147355","3870.350389099662","991328.38195493"
"2021-08-14","3872.0071168820987","3916.990187666716","3561.1530974750176","3713.197304197242","991328.38195493"
"2021-08-13","3715.267395383774","3719.4687142683197","3232.9430030085114","3248.2704247660567","991328.38195493"
"2021-08-12","3251.985110455841","3433.012529799094","3165.2562046838057","3369.0945810865464","991328.38195493"
"2021-08-11","3371.7480225171284","3528.9039587365196","3335.658174545572","3394.5944264499926","991328.38195493"
"2021-08-10","3392.5244334930194","3466.3693789682434","3264.9847554646517","3362.627504139853","991328.38195493"
