"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Supply"
"2021-09-17","47201.45638103457","48284.93260993075","46820.74920989879","47761.835143192366","206420.64944382999"
"2021-09-16","47762.16243834038","49005.72554214798","46108.20661682308","48247.46297048975","205870.92444383"
"2021-09-15","48179.8098269356","48771.671036162305","46237.29479376195","47140.30748622836","205870.92444382998"
"2021-09-14","47141.42652508517","58177.578908651674","44796.29958446925","45131.61776354396","203370.92444383"
"2021-09-13","45127.252454484405","46634.67562370282","43421.34636333667","46129.91729021447","203770.92444383"
"2021-09-12","46116.45809235498","46540.42282151665","44508.07348738762","45167.60204747203","203770.92444382998"
"2021-09-11","45189.89916451767","46006.50999713978","44421.44056104791","44811.6595863404","203770.92444383"
"2021-09-10","44813.619305631466","47207.84947659324","43837.140598158505","46308.94410974289","203770.92444383"
"2021-09-09","46312.66544799958","47776.01786435467","45478.50723680314","46391.942024860386","203770.92444382998"
"2021-09-08","46127.59566217046","47997.2333810656","34784.396853480335","46887.465473697026","203221.19944383"
"2021-09-07","46808.0223998368","53812.13818654278","44830.72773075675","52667.77791602159",""
"2021-09-06","52738.95628565323","53093.09690921836","50956.89703699282","51868.43796177811",""
"2021-09-05","51875.0646224923","52613.84033776177","49521.56540415142","49996.70877442507",""
"2021-09-04","49991.10064804046","51215.70405018337","49458.01021194355","50041.41355179317",""
"2021-09-03","50017.51108846115","51406.53543401559","48348.18555835289","49294.99175765703",""
"2021-09-02","49316.459452463045","51236.27671263081","48506.827008297754","48978.852553127464",""
"2021-09-01","48971.83248945889","49373.246865370624","46514.68951051828","47119.0719201432",""
"2021-08-31","47177.92517926287","48636.96296730321","46567.07817822802","46873.37314960634",""
"2021-08-30","46926.01916189371","48900.69801937463","30417.344669294656","48885.467864831044",""
"2021-08-29","48883.88150043253","49642.50930146311","47941.287728726486","48898.13005669751",""
"2021-08-28","48917.616538184004","51307.63088230229","48433.15773803037","49096.98397631051",""
"2021-08-27","49103.11875244617","49230.056045931924","46353.61541503725","46875.39362649358",""
"2021-08-26","46869.718190515814","49474.39759003756","46330.9332856006","49020.46648352205","197523.74944383002"
"2021-08-25","48973.50586169335","49278.50919033785","45374.73857698378","47774.02251440724","197123.94944383"
"2021-08-24","47737.76246298869","50217.52933458093","47585.93522989982","49417.34589984298","194622.94984399"
"2021-08-23","49452.64288994174","50993.94255166286","48826.13955182864","49399.22687205622","194622.94984399"
"2021-08-22","49314.46959511487","49682.25160192032","47956.24920574002","48947.23663960772","194622.94984399003"
"2021-08-21","48917.24262128353","49759.359584848105","48332.68893586443","49317.649809386305","194622.94984398998"
"2021-08-20","49285.20260748018","50818.45273017139","46544.86427599941","46702.511844873734","194622.94984399"
"2021-08-19","46707.91564920853","47372.672345988954","44031.86487074611","44781.9856550746","194622.94984399"
"2021-08-18","44770.640343346735","46014.942945507115","44284.91529006195","44663.74146607757","194622.94984398998"
"2021-08-17","44694.91429852806","47371.22032237752","44413.15221414989","45880.60258138683","194622.94984399"
"2021-08-16","45914.01360366943","48029.76761691786","45436.85309714904","47125.50500203326","195122.94984398998"
"2021-08-15","47105.210172044935","47450.11579548672","45581.349788831074","47112.9133332428","195122.94984399"
"2021-08-14","47116.799999252384","48109.3156570898","46166.200859929464","47849.91449254829","195122.94984399"
"2021-08-13","47826.29757456428","48062.960323779684","44300.23827644745","44396.64506589225","194873.07484399003"
"2021-08-12","44418.441745436816","46478.54499169512","43784.22190566613","45529.5788164886","194873.07484399"
"2021-08-11","45594.21752506081","46818.40607197006","45107.34038232204","45578.38866873221","194623.19984399"
"2021-08-10","45608.87739440429","49183.7278447313","44631.8518221368","46442.860074474025","194623.19984399"
"2021-08-09","46330.6494994997","46744.410138884996","42791.09430403159","43815.75034927302","194623.19984399"
"2021-08-08","43789.264847731385","45394.22341526035","43358.47231132683","44592.54579954955","194623.19984399"
"2021-08-07","44592.79182389775","44863.9477359073","42511.945733594905","42914.54298970737","194123.44984399"
"2021-08-06","42852.511399953415","43316.9269958558","39929.094973390034","40891.946316472684","194123.44984399"
"2021-08-05","40893.237817535584","41378.59747821829","37322.88468500843","39794.79880940801","193173.92484399"
"2021-08-04","39823.273124861276","40106.92529709113","37123.937168967765","38277.5303147014","192574.22484399"
"2021-08-03","38217.40989717808","39724.11096331232","37090.55689870765","39168.53460856889","192574.22484399"
"2021-08-02","39151.44214250533","40501.568072725444","38508.695195512984","39775.29963246376","192574.22484399"
"2021-08-01","39924.77062584051","42602.23677543036","38974.131928627176","41607.451807032005","192574.22484399"
"2021-07-31","41504.24211224374","42375.08477215427","41124.2841060364","42186.285484320426","192574.22484399"
"2021-07-30","42154.9422488077","42235.63833526434","38326.48299090557","39995.139979620406","192574.22484399"
"2021-07-29","39989.98540214328","40566.774140813475","39353.97124163811","40006.60356291535","193074.22484399"
"2021-07-28","40015.32541860649","49095.86219279771","38810.24708546804","39189.880491272","193174.97459399"
"2021-07-27","39321.478186844164","42059.7506050337","35456.85100859988","37277.67601704609","193174.97459399"
"2021-07-26","37272.60985559991","40459.78227747345","34067.41342638204","36109.94063684057","194674.97459399"
"2021-07-25","35407.11889057781","35419.768800535516","32666.8763473126","34274.2263874575","194674.97459399"
"2021-07-24","34271.10504052074","34940.87175947692","33405.35089667878","33605.66051901071","194674.97459399"
"2021-07-23","33576.6171386942","33621.21623899426","31884.49210732758","32316.51015710951","194674.97459399"
"2021-07-22","32316.543182493442","33591.305898335515","31548.274739818407","32160.063200509638","194674.97459399"
"2021-07-21","32165.27019005102","32749.314547846174","29462.917577551798","29773.779269355633","195074.97459399"
"2021-07-20","29759.628508317037","31295.67641842851","28077.973527765364","30823.496525340095","195474.97459399"
"2021-07-19","30823.239238822025","32230.952651528823","30206.900043060603","31731.702654060915","195874.97459399"
"2021-07-18","31798.416400160706","32390.412249935613","28428.667320738205","31567.31617503851","195874.97459399"
"2021-07-17","31584.01523303384","32091.4329400941","31174.871420123804","31415.336588538372","195874.97459399"
"2021-07-16","31405.05057711372","33792.32996283345","30967.83697280315","31813.816256481576","196274.97459399"
"2021-07-15","31872.55204036059","33768.26047875998","30614.942840090906","32808.79663686693","196274.97459399"
"2021-07-14","32791.51388202064","33321.49202464137","31591.804293157114","32702.249730611773","196674.97459399"
"2021-07-13","32700.364320934983","33379.85884271539","31050.867756250707","33152.742350854496","196674.97459399"
"2021-07-12","33160.18249827117","34594.558360299554","32592.52801521612","34254.79336289976","197074.97459399"
"2021-07-11","34245.59406221559","34571.30776017211","33329.36304601","33571.22013158228","197074.97459399"
"2021-07-10","33561.109806827415","34279.663078558275","33113.155612531984","33836.46699241889","197074.97459399"
"2021-07-09","33827.50128445127","34265.530839396495","32111.201129375702","32863.18640254108","197374.67459399"
"2021-07-08","32851.575903172605","34088.46644845461","32018.335133636152","34015.826533069485","197374.67459399"
"2021-07-07","33894.18310968636","35031.8708106635","33845.20062488881","34219.05039636486","196375.27454399"
"2021-07-06","34221.14045570813","35122.570404946695","33547.085793159975","33680.2215864242","195875.52454399"
"2021-07-05","33733.98129435185","35215.325185367496","33036.8539782377","35215.325185367496","195875.52454399"
"2021-07-04","35293.76430932839","36113","34400.25478877543","34630.12209217381","195875.52454399"
"2021-07-03","34682.79252911151","35286","33300","33850.31800250203","195875.52454399"
"2021-07-02","33855.92559144532","34100.44120137702","32646.727362126676","33520.95","195875.52454399"
"2021-07-01","33519.054287047664","35137.95531922725","32745.38","35045.48549587919","194876.02454399"
"2021-06-30","35103.117763348426","36292","34077.36109593034","35881.43","194125.38401143"
"2021-06-29","35860.803557073734","36676","34153.356259443055","34520.48364839917","194125.3840114098"
"2021-06-28","34457.77052264512","35526.314051405185","33800.56907485487","34611.18228008557","191024.68481142484"
"2021-06-27","34659.02862555063","34857.541106669574","32134.21157637478","32451.479385037055","191024.68481145485"
"2021-06-26","32244.69512450297","32696.918785279067","30185.926633748255","31429","191024.6848114445"
"2021-06-25","31619.9169967783","35489.74075058792","30913.849973018176","34612.09039001833","191024.6848114309"
"2021-06-24","34655.07500397194","35300.357632228224","32355.805754366116","33870.813816042166","191024.68481144862"
"2021-06-23","33660.690924280876","34872.08","32331.64907976881","33702.774925623424","191524.68481142796"
"2021-06-22","32502.688246108795","33336.1932297817","28868.07359427372","31660.695544431423","191824.68481141757"
"2021-06-21","31634.417357096627","35991","31240.75472599667","35575.89001757415","191561.72703912877"
"2021-06-20","35589.64259867252","36200","33384.087527540185","35503.61931820928","191561.7270390987"
"2021-06-19","35497.07859677247","36576","34896.13","35761.480005080346","191561.7270391113"
"2021-06-18","35752.87151257782","38441","35214.52939606888","38046.66537369742","191561.72703913102"
"2021-06-17","38097.99497232467","39949","37414.247126265516","38331.11151857544","189060.7278391038"
"2021-06-16","38358.09425539945","40682","38131.513510193894","40014.0560515889","189060.72783912867"
"2021-06-15","40208.12969499906","41345.79923045516","39587.05935277073","40539.55741003357","189060.72783910958"
"2021-06-14","40573.052987601564","41034.60720616043","38749","38997.954045531114","189060.72783911595"
"2021-06-13","39043.54451899118","39728.524879195866","34790.03907681286","35607.88203729652","189060.72783911278"
"2021-06-12","35593.5723341501","42336","34701.67","37402.08","189060.72783910777"
"2021-06-11","37229.61556082934","38000","35985.77","36494.61","189060.72783909985"
"2021-06-10","36699.04787672531","38381.35538567616","35836.31","37421.298372025114","187159.72863909282"
"2021-06-09","37365.030559533596","37701.545042331396","32372.24220092741","33406.96126801702","187709.72863910167"
"2021-06-08","33412.009429324266","34294","31058.991762884616","33712.82309050132","187709.72863912632"
"2021-06-07","33615.119962138466","37062","33358.9","35895.88107278518","187709.72863913391"
"2021-06-06","35840.23560499404","36656","35242","35471.132056739254","187709.7286391197"
"2021-06-05","35471.86224731657","38307","34846.17","36837.67708502008","187309.9286390917"
"2021-06-04","36891.48562374714","39220.3539428524","35587.33769106423","39196.24223140033","186310.42863912683"
"2021-06-03","39207.229502187925","40548.18881421441","37115.22709414425","37562.28055249226","185810.67863910992"
"2021-06-02","37597.83824840351","38313.450355518005","35960","36803.82","185810.67863912048"
"2021-06-01","36685.419851496474","38239","35629","37535","185810.67863908908"
"2021-05-31","37410.97643464884","37717.635057360065","34191.88","35539.676888355294","186410.07863910936"
"2021-05-30","35667.08882259716","36529","33430","34490.01","186410.07863911803"
"2021-05-29","34612.992743584866","39629.35605189998","33562.22016419727","36185.480703353685","185410.5786391171"
"2021-05-28","35658.6562185097","38810.90106235458","34568.06948383386","38434.84870556356","184211.42863909758"
"2021-05-27","38528.107266304934","40408.213905559714","37139.119433863416","38720.31845625573","184211.42863910637"
"2021-05-26","39290.267700421486","40921.22212439623","37837.422452583334","38118.84914666493","181263.31420683704"
"2021-05-25","38409.64214473378","39856.32","36137.39335278638","38924.3144401713","181263.3142068681"
"2021-05-24","38944.22754510971","40021.55737692534","34462.23704223942","34839.077742345034","181763.31420685945"
"2021-05-23","34779.30219661756","38600","31153.464124224083","37566.438574183","181763.31420683707"
"2021-05-22","37599.08452217062","38972.36693215978","35231.77","37375","182163.3142068359"
"2021-05-21","37278.47183710705","42338.121234293016","33575.06352174208","40710.166320710225","178764.4824898577"
"2021-05-20","40625.4647254951","43244.46833078611","33383.62484393412","35799.31434845325","179064.5823398724"
"2021-05-19","36672.33234646904","45380.49527623888","30546.84843134232","42820","178964.83233985826"
"2021-05-18","42882.096287005734","46180.58661691705","42375.69174424331","43696.2676000206","178964.83233985485"
"2021-05-17","43582.86489042648","46831.30485113572","41945.36496460539","45588.829865457934","176164.48303987648"
"2021-05-16","46505.74522910467","49823.05363931967","43858.18","46906.84","175065.03303985173"
"2021-05-15","46778.80059736446","50842.675830805754","46305.94221749163","49852.60975352632","175065.03303985304"
"2021-05-14","49916.279604373995","51781.73772562704","48804","49913","175064.533639872"
"2021-05-13","49547.23167145564","51615.574002165864","46297.87668","49332.170448000004","174564.78363985603"
"2021-05-12","49142.16636581126","59810.639576451926","48653.0978451221","56775.97243009538","173315.40863985635"
"2021-05-11","56788.79771094944","63029.98894356328","54176.599070707016","55913.74730148416","173315.4086398502"
"2021-05-10","55858.62682574514","176803.7433323722","52238.73876390558","58785.59342569455","170816.15863984716"
"2021-05-09","58332.168286008906","59412.98819703382","56092.40540452046","59072.74669950374","170816.15863984585"
"2021-05-08","59102.94940061102","60642.61938656579","53163.892146694605","57432.75954486171","170266.4336398666"
"2021-05-07","57432.36440511723","59071.981465687175","55168.27970192517","56321.03514560233","170516.43363986205"
"2021-05-06","56468.965111178775","58391.79025920365","55323.256513470755","57041.71145218598","170266.55863984814"
"2021-05-05","57397.65484038346","59365.41969634277","53056.43890974602","54655.83387","170266.55863986656"
"2021-05-04","53250.53802680565","57254.88128772895","52968.80022179747","56965","168767.3086398627"
"2021-05-03","57165.53323745859","59020.68073597051","56525.06","56593.39481762613","167567.90863987154"
"2021-05-02","56659.06529803175","60712.57036562971","55927.3584425047","57421.888621468606","162569.91863586113"
"2021-05-01","57828.68466558976","58968.89272974048","57066.732547064195","57706.52913193365","162569.91863585712"
"2021-04-30","57869.67810898267","57998.95462846446","52317.89137225118","53320.3096","162034.18187234792"
"2021-04-29","53225.08193821653","55129.30386443442","52350","54853.99166348169","157036.1898707411"
"2021-04-28","54839.22677698912","56413.991893909944","53748.04096609806","55856.82777601118","157036.18987074893"
"2021-04-27","55063.19411326444","55707","53072","53591","157036.18987075196"
"2021-04-26","54072.134970693965","55119.33076044345","48945.29044791151","49270.52938827049","157036.189870754"
"2021-04-25","49127.40186563573","50605.58912724631","47059.33","50119.65","156186.61487076248"
"2021-04-24","50093.59664990734","51319","48452.5021090215","49897.98572817808","156186.61487074674"
"2021-04-23","51202.24941661141","52797.748022023705","47495.60845158307","51507.3667278642","155836.78987073828"
"2021-04-22","51875.06838709959","56125.125264149465","50137.00788039706","53855.891363596485","154337.03987074952"
"2021-04-21","53825.3011953051","57110.656167761175","53585.273316196246","56214","153837.28987074026"
"2021-04-20","56475.60630315279","57430","53353.555311138545","55591.74979106501","153587.4148707452"
"2021-04-19","55690.01067778825","57771.28842493055","54199.25366463005","56354.81219627314","153587.41487074038"
"2021-04-18","56255.11698371101","60430.63269739694","51513.91513830237","60218.80641315798","148589.4148707535"
"2021-04-17","59984.39805558961","63098.79589211915","59689.2789477348","61547.837106","148589.41487074323"
"2021-04-16","61563.10553546104","63620.074479926334","60046.20753588677","63461.591905475296","148788.25341701537"
"2021-04-15","63039.346358476345","64095.6244988235","61879.39300554885","62936.21","148788.25341700995"
"2021-04-14","62822.46966998236","65053","61153","63625.6579761329","146790.25291699867"
"2021-04-13","63564.2231484132","66717.33272817185","59839.82843190177","59928.45143812336","145950.67291699987"
"2021-04-12","59876.784542311536","61568","59341","60093.91315381176","145950.67291701364"
"2021-04-11","59960.573460540494","60651.36","59145","59834.88","145950.67291700482"
"2021-04-10","59774.81135103433","61217.84893119698","57884.88015439474","58125.86975526368","145950.6729170202"
"2021-04-09","58124.96264095623","58909.706890538815","57563","58018.032028613445","142952.17291701667"
"2021-04-08","58008.95041312243","58408","55709.7","55987.49","141602.84791702093"
"2021-04-07","56086.93259200636","58665","55460.42331403488","58111.595441268524","141602.8479170026"
"2021-04-06","58035.902556333116","60107.95612675752","57442.42045552145","60089.73659677785","140602.84866675333"
"2021-04-05","59068.90970718696","59433","56680","58272.285300114556","140602.84866677035"
"2021-04-04","57914.576593873775","83149.11110333315","56474.60617525099","57025.182134700226","140602.8486667659"
"2021-04-03","56924.128262244485","59848","56604","59355","140103.09866676092"
"2021-04-02","59008.77374784379","64630.69151013378","58360","62256.44025655466","140103.09866675816"
"2021-04-01","62130.35774151977","62138.68243709974","57749.79346912725","59273","140103.09866676535"
"2021-03-31","58864.43675472656","60215","57049.539636574365","58867.464277306026","140103.0986667602"
"2021-03-30","58812.292353329365","59764","56809.56418996026","57574.42306805825","139603.34866676125"
"2021-03-29","57634.498647794724","58668.82995481906","54585","55790.88833536312","138003.54866676455"
"2021-03-28","55836.95567848973","56547.964191255145","54601","56078.01721389309","138003.54866675718"
"2021-03-27","55851.709089947035","56834","53728","55384","138003.54866675125"
"2021-03-26","55196.58664853437","55206.66977634878","51203.46","51240","138003.54866677255"
"2021-03-25","51382.65526850717","53532","50458.7719692359","52638.82834509321","138003.54866674886"
"2021-03-24","52307.606903261076","57314.69061430709","51700.20177593712","54327.51957371172","137653.7236667701"
"2021-03-23","54392.61114166925","56164","52850","54317.083445143835","137402.8491667709"
"2021-03-22","54088.80599791288","58738","53742.25187953247","57462.426237766704","137402.8491667692"
"2021-03-21","57371.628636567395","105012.22617330686","55557.3222994065","58442","137402.84916676886"
"2021-03-20","58080.91093262635","59914.793752343016","54081","57876.539428597","136403.3491667711"
"2021-03-19","57873.59034313598","59463","54880.05144175755","57550.339302438675","136403.3491667573"
"2021-03-18","57607.739115079225","60095.948826726606","56903.66789266005","58884.48235704266","136403.34916676432"
"2021-03-17","58795.73728992835","58971.22","54180.34","56977.62","136403.349166749"
"2021-03-16","56936.12434557006","56936.28671817028","53303.53480757853","55766","133695.33064373868"
"2021-03-15","55640.32425866233","60589.615919150965","55050.27018788691","59229.71894865908","133695.3306437541"
"2021-03-14","59126.61235149431","67799.7768761406","58983.012762665814","61205.75134559146","133695.3306437608"
"2021-03-13","61289.747384869916","61801.65150125852","56117.27337783879","57242.83209179394","133695.33064375902"
"2021-03-12","57239.66037520168","58102.82085047596","55137.14150383709","57949.19","132695.8306437436"
"2021-03-11","57903.361168489704","58346.1632453557","54410.5933218338","55949.43942287428","131696.33064374837"
"2021-03-10","55959.90809224229","57445.68620386887","53225.33178591945","55093.60220201943","130517.957971077"
"2021-03-09","55027.129232378895","55037.51824773903","51884.13417494962","52434.99450991968","129018.45809608947"
