"Date","Price (Close)","Price (High)","Price (Open)","Price (Low)","Circulating Marketcap","Circulating Supply"
"2021-09-17","1.0636235791987172","1.1029631689308916","1.0912341480626333","1.0512989270098034","",""
"2021-09-16","1.090595074838488","1.1306420928836673","1.1212089615154763","1.0666980187419475","44746999575.90582","39909598577.79211"
"2021-09-15","1.1213203293258431","1.1306654990814984","1.0965585530941542","1.0795202569901485","43717957504.80445","39868329312.1427"
"2021-09-14","1.096687799769634","1.0984768029842693","1.0643675615241508","1.0570746204346932","42434390188.150764","39868173103.0826"
"2021-09-13","1.0646711759094747","1.126715120254265","1.1185357840956593","1.0248729391056495","44571607546.63707","39848173103.0835"
"2021-09-12","1.1184912906763822","1.1277048833061052","1.0790222569966472","1.0579781063302764","42997065678.882256","39848173103.0835"
"2021-09-11","1.0788848700248592","1.1150330837359537","1.055295768661903","1.0507095626204623","42051608466.70167","39848173105.0835"
"2021-09-10","1.0553425922168205","1.2462302567811767","1.0885465040249669","1.0302277874505532","43376589527.3222","39848173106.92251"
"2021-09-09","1.0873490748034047","1.1383430633925893","1.105909633888751","1.067635377534125","44068478531.81225","39848173106.92251"
"2021-09-08","1.1000466855911641","1.148623065027128","1.1287916103550666","1.0141604567510891","44934975575.44612","39808034683.489204"
"2021-09-07","1.1291325933007017","1.3933281266685356","1.3901454600198362","0.9512502180707179","55338958687.5647","39808034683.489204"
"2021-09-06","1.3902108065983514","1.415859599637138","1.3069105969562114","1.306088057945911","51952698439.840775","39752297181.489204"
"2021-09-05","1.3081936624521386","1.3131675553197153","1.255733632247243","1.2369332612791433","49918296530.05118","39752297181.62291"
"2021-09-04","1.255534397967128","1.2978853375320563","1.2911066090576853","1.2364566263054901","51311542550.34316","39742297181.63469"
"2021-09-03","1.2909916631781808","1.3243610982116","1.2548271692647404","1.2199908835851117","49788150507.886826","39677297182.73469"
"2021-09-02","1.25383960880989","1.295966716871109","1.2371966245800552","1.222305758256667","49359171506.49056","39895979770.59198"
"2021-09-01","1.2368239161632655","1.2388064712992501","1.1821689820293422","1.1588054096158331","47163226931.50079","39895503644.95198"
"2021-08-31","1.186158386555929","1.2446589033419995","1.1013513091662028","1.0914755130619154","43826076770.33689","39793003745.113976"
"2021-08-30","1.1009864410099732","1.1496037085519484","1.1411316710333523","1.0953093973763737","45399369417.389915","39784514416.53398"
"2021-08-29","1.1414163073390393","1.1691672424095392","1.1464890860967754","1.1128997084823538","45602769308.26055","39776016938.38646"
"2021-08-28","1.1465452436750196","1.1987801635431807","1.1909960233707144","1.1335671693739822","47362967242.55267","39767527609.796455"
"2021-08-27","1.1922253947337829","1.1930828578256925","1.0744283223400262","1.0507218998974712","42717601879.36458","39758447344.657455"
"2021-08-26","1.0717709792613361","1.1886644510364626","1.1734838180305105","1.0643782912720756","46633768649.414444","39739630483.70339"
"2021-08-25","1.1740036916982244","1.17826971319439","1.1362272088065077","1.1074255761059497","45145329962.500725","39729970539.54339"
"2021-08-24","1.135160194596536","1.2664190883567434","1.2467389993859606","1.1216183455248594","49504801601.60134","39710890274.40339"
"2021-08-23","1.2464107840062084","1.3051842428094438","1.2278266652211831","1.20416556608939","48708276428.65489","39686010085.26339"
"2021-08-22","1.2267198800398857","1.2564000566493356","1.2219793514293287","1.1781073345935311","48263953430.92179","39676929720.56339"
"2021-08-21","1.2171182809707284","1.2836929913510742","1.2630196574208445","1.2021715944560012","50101744450.45992","39667849455.423386"
"2021-08-20","1.2633959740127794","1.2916988695467744","1.2346963520153635","1.198936335830943","48971074470.38153","39663102104.44339"
"2021-08-19","1.2347394934740228","1.2357528107873104","1.145122957524482","1.0898750382075535","45414426435.35907","39658354753.46339"
"2021-08-18","1.1435267522305654","1.1973993627455792","1.0973506668588826","1.050592508757458","43501463310.24057","39623607402.48339"
"2021-08-17","1.0979820436782781","1.233656375597962","1.2017031135171516","1.085091586787399","47061848614.922295","39618860051.50339"
"2021-08-16","1.1861230177396689","1.3301320076409187","1.2857366743557115","1.1428589465016685","50933392287.83288","39614112700.52339"
"2021-08-15","1.2848732609006581","1.3519536748995267","1.2804025193457667","1.2260899372606242","50719210037.62492","39610865349.54439"
