"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Supply"
"2021-09-17","33342.2019769986","35104.903832892174","32855.6140889086","34780.96127167162","36635.43982673"
"2021-09-16","34768.76477257856","36776.48964639954","34168.39108521073","36594.024225836685","36635.43982673"
"2021-09-15","36533.09093083662","37992.02057342802","35174.529737160425","35654.06822851769","36635.43982673"
"2021-09-14","35724.75955617016","35746.233636673074","32563.44479028922","32752.3398010986","36635.43982673"
"2021-09-13","32778.630664693585","33611.88740679194","31090.225623683124","33304.916487942945","36635.43982673"
"2021-09-12","33290.094099096","34343.22488802373","31376.459512839414","32962.523075490666","36635.43982673"
"2021-09-11","32963.386312398005","34010.95513059144","32557.596799381532","32784.144185679","36635.43982673"
"2021-09-10","32810.176077220196","35428.74680174164","32013.411076655793","34331.956739191104","36635.43982673"
"2021-09-09","34354.186204180456","43717.72135757884","33458.33297477464","34845.24739647952","36635.43982673"
"2021-09-08","34677.77626373387","35974.21736976438","32211.19685686571","34535.87933573019","36635.43982673"
"2021-09-07","34595.252853355225","42763.51663780815","30706.939866757006","42302.49982815108",""
"2021-09-06","42222.662526177184","43557.30287948507","41483.99840163531","42970.92088131648",""
"2021-09-05","42956.67333084945","43869.98927231539","40571.505305717015","41521.0926064632",""
"2021-09-04","41485.69182881042","43621.274207661234","39769.24184779959","40445.29492438796",""
"2021-09-03","40436.42533325244","41027.44423570513","37741.61159916683","38695.197431282235",""
"2021-09-02","38680.58747352125","40294.50565459205","38565.23329648358","40020.52523933475",""
"2021-09-01","40008.786975428164","40473.69101773194","37815.02304462931","38317.16295411413",""
"2021-08-31","38358.929157778606","38793.820413317815","35696.92434210239","36924.99484594762",""
"2021-08-30","36275.13511241556","37702.39624975662","35979.687340268276","37502.63602978075",""
"2021-08-29","37493.19968544544","38706.01774707174","36997.12598174129","38085.8787613464",""
"2021-08-28","38072.886729662576","38326.13307437421","37090.57389311734","37801.76032327274",""
"2021-08-27","37825.888825461676","38305.05046108943","35197.48345563344","36153.571037368616",""
"2021-08-26","36140.32669633988","38484.8541226275","35578.31962818864","38295.112922456974","36635.43982673"
"2021-08-25","38300.877218062014","39225.11011015031","36029.346615886665","37102.9014812389","36635.43982673"
"2021-08-24","37103.64648332264","40546.728530022345","36903.846778180225","39981.3614580423","36635.43982673"
"2021-08-23","39997.165978296915","40695.344547363835","39511.213938637346","39513.02900293785","36635.43982673"
"2021-08-22","39514.57817311751","41032.93218747341","38402.54864923222","38986.39505454755","36635.43982673"
"2021-08-21","38822.99039854096","39954.518858065116","38599.389778128054","39799.52876974365","36635.43982673"
"2021-08-20","39784.901550022216","40342.93843078458","38882.79246062071","39123.41031196539","36635.43982673"
"2021-08-19","39127.1199699531","39141.84985916492","36127.75621582317","37193.781522084726","36635.43982673"
"2021-08-18","37154.34476609287","38867.115593438786","36830.62230011978","37868.78","36635.43982673"
"2021-08-17","37857.306221333536","41844.6291959361","37401.041832202005","39346.00605446074","36635.43982673"
"2021-08-16","39325.96402766121","42024.59085537189","39025.97339245311","39869.3095420553","36635.43982673"
"2021-08-15","39860.931592214154","40060.08875288329","37713.16826780649","39547.074932939686","36635.43982673"
"2021-08-14","39554.475726038836","40222.79260388627","38251.58347054997","40205.99100823867","36635.43982673"
"2021-08-13","40224.68134506408","40487.485890188895","36667.261328980356","36943.832512829125","36635.43982673"
"2021-08-12","37023.90822980131","39997.50726433021","35569.01931492095","37962.82345601024","36635.43982673"
"2021-08-11","38016.38060866707","38353.39146839888","34798.751147519826","34903.31660207208","36635.43982673"
"2021-08-10","34892.76160539135","35662.25769287676","33516.33326531001","33962.66743732914","36635.43982673"
"2021-08-09","33961.0043468649","34344.813856670844","31810.606253466798","32766.903814714573","36635.43982673"
"2021-08-08","32763.10354019292","34887.39705501288","32152.24822471667","34652.76871929944","36635.43982673"
"2021-08-07","34673.57049139777","35216.031577982365","32871.948811431226","33215.36273499966","36635.43982673"
"2021-08-06","33164.39336282491","33925.92039120619","32167.713216999844","32943.66584988935","36635.43982673"
"2021-08-05","32938.26594716714","33852.37166469477","31289.406273204997","33000.45988582382","36635.43982673"
"2021-08-04","33001.11338175743","33325.70766544437","31130","31813.977988479743","36635.43982673"
"2021-08-03","31857.294469720073","32634.594888596526","30564.96877203572","32018.35707833658","36635.43982673"
"2021-08-02","32014.22276500176","33502.61546308048","30994.800145476813","32076.030449801976","36635.43982673"
"2021-08-01","31692.740571420567","34006.85368606465","31405.753418472086","33135.33805424869","36635.43982673"
"2021-07-31","33108.942420053645","33737.12499748091","30733.289994474144","31368.644251652757","36635.43982673"
"2021-07-30","31337.60467208755","31469.2348481656","29766.8169146179","30835.81904226894","36635.43982673"
"2021-07-29","30847.48697365707","31163.477155536337","29428.87353640147","29848.454741262784","36635.43982673"
"2021-07-28","29865.186302881622","30682.093738918713","29242.565956819464","29615.54152807976","36635.43982673"
"2021-07-27","29644.64388761205","31018.608944216012","28818.165229348735","30044.211839635424","36635.43982673"
"2021-07-26","30061.916514379605","33174.221536109646","29847.549584450124","29985.98018682575","36635.43982673"
"2021-07-25","29984.388385882703","30005.574211583007","28681.835202403905","29534.430587245468","36635.43982673"
"2021-07-24","29513.98524194508","30285.062360730848","28933.08356187942","29429.473195522165","36635.43982673"
"2021-07-23","29426.512895763444","29486.963506465785","27971.48106022171","28295.719086506328","36635.43982673"
"2021-07-22","28508.01990044667","28882.460872387128","27486.527068343297","28266.181651564828","36635.43982673"
"2021-07-21","28280.24644008066","29782.671336084","25326.49363590057","25789.007549133803","36635.43982673"
"2021-07-20","25781.248146529553","27293.996057414744","24821.992077275292","26851.291595311006","36635.43982673"
"2021-07-19","26862.67335623796","28318.082449995454","26645.027534571935","27981.316993127224","36635.43982673"
"2021-07-18","27966.17187984329","28915.047681662047","27559.182287886528","27667.01431308458","36635.43982673"
"2021-07-17","27672.074806649507","28182.585475287437","27076.970662657666","27659.738352424756","36635.43982673"
"2021-07-16","27634.664461329812","30569.160087087934","27497.498352309514","30074.545671623553","36635.43982673"
"2021-07-15","30099.279430317718","32308.758880152895","29725.717170878328","31612.02222493534","36635.43982673"
"2021-07-14","31520.146390011334","32428.46854699673","30144.849722826213","32329.731517163535","36635.43982673"
"2021-07-13","32300.457280687304","33853.286115247836","31945.527574179087","32877.99646403654","36635.43982673"
"2021-07-12","32846.5328932002","34393.82084890907","32251.14461640032","33795.44166310905","36635.43982673"
"2021-07-11","33759.45908503876","34309.43102859538","32786.952878581724","33166.31536610955","36635.43982673"
"2021-07-10","33161.32930437251","34079.1916679192","32470.214283484765","33487.97568555602","36635.43982673"
"2021-07-09","33482.3957354797","34023.96735814208","31661.34428588266","33067.66366310801","36635.43982673"
"2021-07-08","33050.535320375464","35536.689844445275","32361.03862785728","35425.97177902602","36635.43982673"
"2021-07-07","35426.67741220979","37755.145148014024","35196.18583080079","35919.10524151024","36635.43982673"
"2021-07-06","35876.74466849153","37332.97905326198","32404.210668939555","32414.92407960231","36635.43982673"
"2021-07-05","32427.067022444364","33436.674844930654","30998.025714434116","33350.466075521574","36635.43982673"
"2021-07-04","33396.95740252033","34491.35812021717","31632.60553703134","32636.24750803269","36635.43982673"
"2021-07-03","32661.156430482984","34150.28876475217","31544.81976466436","32086.604211786438","36635.43982673"
"2021-07-02","32055.245174873045","32379.41992544457","31159.551172151194","32003.693666781688","36635.43982673"
