"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Supply"
"2021-09-17","134.78275488720593","140.25952965878346","132.85487855211002","138.01531433849024",""
"2021-09-16","137.94624467556594","146.59002940618316","133.8018532610065","139.86166140230816","11096566.76734811"
"2021-09-15","139.8604470575991","140.1331029020563","130.8515678843049","133.75623189288999","11094266.76726811"
"2021-09-14","133.8444360816873","133.91733412871065","126.34059889102114","127.72390648240454","11093104.26698959"
"2021-09-13","127.80827984582545","132.56459321320074","121.10778880584249","131.24923602513954","11089544.89182959"
"2021-09-12","131.25502892820379","133.72170306238422","126.17045345454292","128.47727058825834","11088351.14139901"
"2021-09-11","128.51943187353794","134.45207871730594","126.65449128735794","128.13907168615304","11084760.51566425"
"2021-09-10","128.16142621057728","142.57860456758257","124.85484268688343","137.22025476673815","11081179.26538605"
"2021-09-09","137.59889081985776","143.44958339878272","131.704132260271","135.41882003032654","11077673.01506621"
"2021-09-08","135.44682168849798","139.3727187538847","120.50444515419403","136.16738428101422","11074173.01489927"
"2021-09-07","136.34547254091513","171.8137563977424","117.77871172649506","171.15379092341556","11072976.13895189"
"2021-09-06","171.18793650701767","175.96615917000634","164.01389577420227","172.9186728689029","11069351.13811671"
"2021-09-05","172.92433501955276","175.95512772526416","159.19674755765283","160.34074064308146","11065838.63685575"
"2021-09-04","160.2223853579246","162.31162792685953","154.98829391940066","156.534867833038","11062238.63521505"
"2021-09-03","156.465766263274","159.93643721688505","147.00435462789363","150.67478733207543","11058635.50869823"
"2021-09-02","150.69561257067676","163.33324908232467","149.13131848566022","151.66246644824534","11055085.5084237"
"2021-09-01","151.69307211772167","151.91595120304996","140.7165400164303","143.42044225367323","11051510.50807476"
"2021-08-31","143.8661877167508","148.2747539172811","139.00940977476782","141.17565519709902","11047913.63245418"
"2021-08-30","141.21808092890254","149.23495755097792","140.41714050455786","148.397011405497","11044357.38190171"
"2021-08-29","148.42123362844492","154.3205563649328","146.12302091847874","150.68495557265143","11040757.38099785"
"2021-08-28","150.6534682636525","152.67263205095256","146.8905113933749","152.29535344382893","11037188.62939331"
"2021-08-27","152.34861697782782","152.47660023864896","139.74529737122793","144.07670886709428","11033607.37800771"
